booking_id,tourist_id,hotel_id,destination_id,booking_date,check_in,check_out,season,payment_method,hotel_cost,food_cost,transport_cost,shopping_cost,activity_cost,discount,total_cost,stay_duration,revenue,profit,average_daily_cost
36,849,465,38,2023-04-19,2023-04-25,2023-04-29,Summer,Cash,53520.56,4604.46,2710.2,7292.26,3073.95,458.55,70742.88,4,70742.88,14148.58,17685.72
37,112,284,14,2024-04-19,2024-05-28,2024-06-02,Summer,Net Banking,11408.85,13589.04,6546.42,10378.26,2137.84,652.51,43407.9,5,43407.9,8681.58,8681.58
38,764,474,107,2023-01-12,2023-03-09,2023-03-16,Summer,UPI,29691.62,7916.65,3599.51,9770.48,3026.45,1757.45,52247.26,7,52247.26,10449.45,7463.89
39,631,141,82,2024-04-10,2024-05-26,2024-06-01,Summer,Credit Card,34645.32,4118.76,3273.76,3209.89,1425.81,929.11,45744.43,6,45744.43,9148.89,7624.07
40,474,9,171,2024-09-05,2024-10-02,2024-10-07,Autumn,Cash,59017.1,7440.87,2221.81,16899.02,2641.61,5402.97,82817.44,5,82817.44,16563.49,16563.49
41,322,489,83,2022-11-16,2023-01-09,2023-01-13,Winter,UPI,16516.4,7214.33,1508.89,6303.38,1014.16,1530.94,31026.22,4,31026.22,6205.24,7756.56
42,51,120,74,2022-12-20,2023-02-06,2023-02-12,Winter,Net Banking,9120.48,8219.02,1167.82,7173.58,712.85,977.56,25416.19,6,25416.19,5083.24,4236.03
43,266,500,84,2024-02-28,2024-04-18,2024-04-20,Summer,Cash,3411.34,6134.73,5171.95,18249.77,3226.1,39.63,36154.26,2,36154.26,7230.85,18077.13
44,209,167,47,2024-05-18,2024-07-03,2024-07-08,Monsoon,UPI,5877.6,3573.1,2306.16,7881.64,1672.45,359.83,20951.12,5,20951.12,4190.22,4190.22
45,668,192,177,2024-06-14,2024-06-20,2024-06-23,Monsoon,UPI,17050.02,3061.35,8498.22,16413.71,1060.87,1557.62,44526.55,3,44526.55,8905.31,14842.18
46,828,161,135,2024-05-09,2024-06-07,2024-06-13,Monsoon,Credit Card,16835.16,16044.36,2880.54,13727.01,4990.04,2412.09,52065.02,6,52065.02,10413.0,8677.5
47,982,479,134,2024-10-28,2024-12-18,2024-12-20,Winter,Cash,8441.42,6789.23,6856.82,13183.96,4642.35,401.31,39512.47,2,39512.47,7902.49,19756.24
48,200,429,55,2023-06-21,2023-07-11,2023-07-15,Monsoon,Debit Card,16780.8,9469.85,7985.51,2308.34,2687.33,1844.54,37387.29,4,37387.29,7477.46,9346.82
49,902,210,186,2024-04-11,2024-05-18,2024-05-20,Summer,UPI,3770.26,5919.98,6841.75,8979.36,3931.95,321.99,29121.31,2,29121.31,5824.26,14560.66
50,847,65,153,2023-10-25,2023-11-25,2023-12-02,Autumn,Cash,168726.18,10491.98,3422.18,7958.56,1695.5,2985.54,189308.86,7,189308.86,37861.77,27044.12
51,419,216,14,2023-06-13,2023-07-19,2023-07-26,Monsoon,Debit Card,104464.36,12948.66,4505.62,155.12,922.76,4127.01,118869.51,7,118869.51,23773.9,16981.36
52,568,365,81,2023-10-06,2023-12-05,2023-12-07,Winter,Net Banking,8843.08,1071.79,1667.74,730.15,2302.14,702.11,13912.79,2,13912.79,2782.56,6956.4
53,398,463,151,2023-04-25,2023-06-13,2023-06-19,Monsoon,Debit Card,9307.14,9407.85,1476.12,8974.26,3644.24,825.75,31983.86,6,31983.86,6396.77,5330.64
54,632,56,48,2023-10-12,2023-12-03,2023-12-07,Winter,Net Banking,3782.72,7464.05,3523.33,7406.97,2024.92,429.9,23772.09,4,23772.09,4754.42,5943.02
55,717,69,173,2023-06-30,2023-07-05,2023-07-11,Monsoon,Cash,17808.48,6328.87,3597.62,3793.75,2035.05,1358.79,32204.98,6,32204.98,6441.0,5367.5
56,603,144,179,2023-11-14,2023-12-08,2023-12-13,Winter,UPI,5260.75,2862.16,3070.71,5251.94,2278.8,732.33,17992.03,5,17992.03,3598.41,3598.41
57,293,166,33,2023-04-28,2023-05-05,2023-05-12,Summer,Debit Card,24964.87,14437.16,3803.44,15832.51,2880.51,1300.72,60617.77,7,60617.77,12123.55,8659.68
58,170,61,147,2024-03-27,2024-04-15,2024-04-18,Summer,UPI,3264.45,10307.56,3667.89,10911.06,1568.55,113.44,29606.07,3,29606.07,5921.21,9868.69
59,286,73,174,2022-12-20,2023-02-01,2023-02-03,Winter,Cash,4883.44,4704.75,3204.96,8790.59,6081.11,270.69,27394.16,2,27394.16,5478.83,13697.08
60,289,483,56,2024-11-21,2024-12-24,2024-12-30,Winter,Debit Card,8617.02,10479.34,2179.77,1096.15,2972.13,1091.88,24252.53,6,24252.53,4850.51,4042.09
61,456,456,140,2024-04-04,2024-06-03,2024-06-06,Monsoon,UPI,46995.18,4792.35,1465.85,3537.21,776.73,5592.33,51974.99,3,51974.99,10395.0,17325.0
62,745,39,190,2024-03-06,2024-04-09,2024-04-16,Summer,Cash,18739.42,10556.86,1296.35,6879.38,3622.95,107.82,40987.14,7,40987.14,8197.43,5855.31
63,103,478,40,2024-07-11,2024-09-07,2024-09-13,Autumn,Credit Card,13938.48,41553.51,12632.9,8852.89,9187.93,1823.39,84342.32,6,84342.32,16868.46,14057.05
64,226,345,20,2024-03-30,2024-05-05,2024-05-08,Summer,Net Banking,4000.74,2771.7,1794.29,8758.64,3827.91,514.39,20638.89,3,20638.89,4127.78,6879.63
65,768,110,95,2022-12-07,2023-01-16,2023-01-22,Winter,Debit Card,76407.6,18779.83,2310.5,13759.63,5293.65,7232.28,109318.93,6,109318.93,21863.79,18219.82
66,241,327,28,2023-03-13,2023-05-10,2023-05-13,Summer,UPI,9043.59,4505.89,2960.89,6300.27,2592.45,737.16,24665.93,3,24665.93,4933.19,8221.98
67,303,50,12,2024-04-11,2024-05-14,2024-05-18,Summer,Debit Card,55972.48,11949.02,2926.55,9294.72,3232.34,953.24,82421.87,4,82421.87,16484.37,20605.47
68,714,204,56,2024-08-02,2024-09-27,2024-10-02,Autumn,Cash,26486.2,20124.08,6981.98,10473.49,8194.34,3535.16,68724.93,5,68724.93,13744.99,13744.99
69,802,210,186,2023-11-22,2024-01-09,2024-01-13,Winter,Net Banking,7540.52,4348.27,2767.81,3986.8,3693.29,303.49,22033.2,4,22033.2,4406.64,5508.3
70,746,113,36,2023-04-07,2023-05-10,2023-05-15,Summer,Debit Card,6988.05,6793.79,1666.14,2062.01,2688.5,993.57,19204.92,5,19204.92,3840.98,3840.98
71,629,313,124,2023-04-18,2023-04-24,2023-04-29,Summer,Credit Card,9021.7,8353.25,2333.15,3527.01,3181.05,85.88,26330.28,5,26330.28,5266.06,5266.06
72,51,266,74,2023-01-07,2023-03-06,2023-03-12,Summer,Net Banking,11844.06,10737.51,1917.34,8012.85,3687.29,588.95,35610.1,6,35610.1,7122.02,5935.02
73,221,284,14,2023-07-05,2023-09-02,2023-09-04,Autumn,Cash,4563.54,2615.12,5183.5,9698.0,2098.62,206.36,23952.42,2,23952.42,4790.48,11976.21
74,236,324,148,2023-11-10,2023-12-02,2023-12-09,Winter,Credit Card,112779.8,12036.46,2511.43,4007.51,3364.04,14829.78,119869.46,7,119869.46,23973.89,17124.21
75,883,44,179,2023-12-27,2024-01-01,2024-01-08,Winter,Cash,6873.51,9851.15,1607.39,7358.73,3274.17,200.31,28764.64,7,28764.64,5752.93,4109.23
76,621,440,139,2024-04-07,2024-05-14,2024-05-21,Summer,Credit Card,125142.64,6672.62,2835.62,996.79,3892.42,10816.1,128723.99,7,128723.99,25744.8,18389.14
77,386,150,111,2023-05-05,2023-06-14,2023-06-18,Monsoon,Net Banking,21179.28,3706.54,3811.52,5065.94,1838.43,3155.14,32446.57,4,32446.57,6489.31,8111.64
78,746,202,3,2023-10-27,2023-11-15,2023-11-21,Autumn,Credit Card,26427.42,6576.14,1928.46,3698.22,2471.04,2548.21,38553.07,6,38553.07,7710.61,6425.51
79,341,74,57,2023-06-25,2023-08-04,2023-08-07,Monsoon,Debit Card,5360.64,5391.72,2959.25,2499.69,994.66,495.72,16710.24,3,16710.24,3342.05,5570.08
80,485,268,144,2023-07-10,2023-09-02,2023-09-07,Autumn,UPI,23858.7,10060.09,7131.68,15017.82,1130.01,2465.79,54732.51,5,54732.51,10946.5,10946.5
81,614,209,108,2024-09-05,2024-09-23,2024-09-29,Autumn,Net Banking,25992.54,7910.3,2252.06,6520.09,1626.43,2763.79,41537.63,6,41537.63,8307.53,6922.94
82,527,285,100,2023-10-03,2023-11-04,2023-11-11,Autumn,Credit Card,22859.34,7444.7,4027.55,1620.93,3118.52,569.87,38501.17,7,38501.17,7700.23,5500.17
83,449,446,176,2023-11-08,2023-12-14,2023-12-17,Winter,Cash,30838.41,3692.37,3995.97,5470.85,1897.92,1372.7,44522.82,3,44522.82,8904.56,14840.94
84,446,151,48,2024-06-22,2024-07-17,2024-07-23,Monsoon,UPI,12831.6,14533.73,2994.81,5223.54,5215.65,1545.21,39254.12,6,39254.12,7850.82,6542.35
85,975,366,192,2024-04-12,2024-05-16,2024-05-19,Summer,UPI,3253.32,11343.72,7761.04,17047.92,1947.37,255.9,41097.47,3,41097.47,8219.49,13699.16
86,850,243,181,2023-12-23,2024-01-06,2024-01-11,Winter,Credit Card,61188.7,19899.65,2044.82,14029.29,2394.87,861.36,98695.97,5,98695.97,19739.19,19739.19
87,470,170,90,2024-02-05,2024-02-20,2024-02-22,Winter,UPI,4385.18,5818.06,9066.75,6899.15,1098.91,126.71,27141.34,2,27141.34,5428.27,13570.67
88,292,421,87,2024-09-29,2024-11-19,2024-11-23,Autumn,UPI,69274.36,5747.01,2613.07,2547.49,2393.56,6851.59,75723.9,4,75723.9,15144.78,18930.97
89,80,304,170,2023-01-24,2023-02-09,2023-02-13,Winter,Cash,18946.6,2613.93,4187.54,5873.17,3181.19,938.31,33864.12,4,33864.12,6772.82,8466.03
90,791,437,161,2024-11-04,2024-12-26,2025-01-01,Winter,Net Banking,34659.3,4883.76,1010.68,2318.31,1257.55,4832.62,39296.98,6,39296.98,7859.4,6549.5
91,630,76,107,2024-02-23,2024-02-28,2024-03-03,Winter,Credit Card,53252.72,13276.3,2175.76,9210.69,3670.04,5310.7,76274.81,4,76274.81,15254.96,19068.7
92,335,155,47,2023-05-29,2023-07-08,2023-07-13,Monsoon,Net Banking,42490.8,29895.83,13769.92,12779.7,12366.98,2020.26,109282.97,5,109282.97,21856.59,21856.59
93,81,453,100,2023-06-22,2023-08-06,2023-08-10,Monsoon,Debit Card,4491.0,12670.66,5835.5,8821.68,5870.48,461.7,37227.62,4,37227.62,7445.52,9306.91
94,572,461,74,2024-05-31,2024-06-06,2024-06-10,Monsoon,Net Banking,9730.96,6624.47,2383.97,4240.78,2659.41,1279.08,24360.51,4,24360.51,4872.1,6090.13
95,943,481,43,2024-01-14,2024-03-06,2024-03-08,Summer,Debit Card,3623.66,2326.24,3104.01,56.15,1586.37,51.15,10645.28,2,10645.28,2129.06,5322.64
96,378,469,35,2023-04-28,2023-05-20,2023-05-22,Summer,UPI,27193.08,2925.02,2593.18,9957.38,2964.93,1118.34,44515.25,2,44515.25,8903.05,22257.62
97,59,498,117,2023-06-08,2023-07-28,2023-08-02,Monsoon,Cash,12257.75,7241.8,2961.2,4734.48,3562.28,1380.07,29377.44,5,29377.44,5875.49,5875.49
98,827,54,60,2022-12-01,2023-01-20,2023-01-23,Winter,Debit Card,38070.18,5419.11,1526.59,4195.73,3460.31,320.06,52351.86,3,52351.86,10470.37,17450.62
99,653,364,108,2023-01-20,2023-02-28,2023-03-04,Winter,Debit Card,8972.52,5930.63,3949.81,3326.65,2851.97,1210.84,23820.74,4,23820.74,4764.15,5955.18
100,920,364,108,2024-05-12,2024-05-17,2024-05-24,Summer,Net Banking,15701.91,7871.98,3670.89,614.83,1175.29,1793.06,27241.84,7,27241.84,5448.37,3891.69
101,152,374,3,2023-05-08,2023-05-15,2023-05-19,Summer,Cash,55384.16,11491.56,10878.71,6226.86,11210.04,6960.62,88230.71,4,88230.71,17646.14,22057.68
102,4,160,127,2024-03-09,2024-04-04,2024-04-09,Summer,Cash,4322.7,15787.43,2419.89,16744.91,1455.42,595.24,40135.11,5,40135.11,8027.02,8027.02
103,187,374,3,2024-02-03,2024-03-19,2024-03-21,Summer,Debit Card,27692.08,6732.42,3740.21,7490.59,1568.92,3008.51,44215.71,2,44215.71,8843.14,22107.86
104,253,158,91,2023-10-02,2023-11-24,2023-12-01,Autumn,Debit Card,47327.0,12168.21,4531.04,5167.38,2657.47,4011.25,67839.85,7,67839.85,13567.97,9691.41
105,424,116,76,2024-10-22,2024-11-07,2024-11-11,Autumn,UPI,6565.24,22267.26,7409.45,17635.88,9091.57,343.55,62625.85,4,62625.85,12525.17,15656.46
106,658,268,144,2023-04-05,2023-06-02,2023-06-08,Monsoon,Net Banking,28630.44,8802.68,6549.69,19875.11,4036.97,2774.32,65120.57,6,65120.57,13024.11,10853.43
107,699,408,141,2024-03-17,2024-04-23,2024-04-29,Summer,UPI,9005.88,13740.54,14737.09,9295.7,7692.87,42.48,54429.6,6,54429.6,10885.92,9071.6
108,119,265,4,2023-07-03,2023-07-16,2023-07-21,Monsoon,Cash,5235.3,8860.38,5859.14,11849.49,6578.03,253.16,38129.18,5,38129.18,7625.84,7625.84
109,108,323,59,2023-04-05,2023-05-06,2023-05-11,Summer,UPI,42525.9,10050.08,9223.84,3742.23,3506.03,1038.14,68009.94,5,68009.94,13601.99,13601.99
110,560,96,90,2024-09-12,2024-10-26,2024-10-31,Autumn,Cash,5431.2,6819.74,2739.87,3993.33,3419.34,205.77,22197.71,5,22197.71,4439.54,4439.54
111,383,308,163,2024-02-03,2024-02-10,2024-02-13,Winter,Cash,32358.93,3970.7,5407.15,5387.22,5042.42,2878.7,49287.72,3,49287.72,9857.54,16429.24
112,168,263,182,2023-12-02,2024-01-20,2024-01-26,Winter,Debit Card,10333.44,23126.89,6543.91,2790.98,5643.84,1222.3,47216.76,6,47216.76,9443.35,7869.46
113,56,497,67,2023-02-27,2023-03-26,2023-03-31,Summer,Net Banking,59980.75,3740.07,1003.37,1474.91,3590.34,2710.67,67078.77,5,67078.77,13415.75,13415.75
114,83,95,162,2023-03-04,2023-03-14,2023-03-21,Summer,Debit Card,35975.8,9213.21,5798.51,13960.95,931.15,859.8,65019.82,7,65019.82,13003.96,9288.55
115,103,242,124,2024-07-05,2024-07-23,2024-07-28,Monsoon,Net Banking,47034.4,31446.37,13769.63,27470.02,3007.39,906.6,121821.21,5,121821.21,24364.24,24364.24
116,782,479,134,2023-12-15,2024-02-10,2024-02-17,Winter,Net Banking,29544.97,35164.29,11291.26,12487.22,10240.45,4299.79,94428.4,7,94428.4,18885.68,13489.77
117,28,114,71,2023-10-05,2023-10-25,2023-10-29,Autumn,UPI,7286.8,4039.11,4292.95,6105.67,3130.9,999.66,23855.77,4,23855.77,4771.15,5963.94
118,662,118,108,2023-03-15,2023-04-02,2023-04-06,Summer,Net Banking,20203.6,2557.1,2536.27,1798.76,1027.62,942.78,27180.57,4,27180.57,5436.11,6795.14
119,692,421,87,2024-05-29,2024-06-14,2024-06-17,Monsoon,Net Banking,51955.77,4570.53,4336.93,4649.23,789.24,5346.76,60954.94,3,60954.94,12190.99,20318.31
120,104,336,179,2023-11-11,2023-12-06,2023-12-09,Winter,Cash,10316.88,3781.37,3745.19,115.89,2788.36,1037.15,19710.54,3,19710.54,3942.11,6570.18
121,433,395,116,2023-12-19,2024-02-09,2024-02-16,Winter,Credit Card,24279.15,9838.18,4209.67,4502.7,1804.89,1724.6,42909.99,7,42909.99,8582.0,6130.0
122,344,433,99,2024-05-10,2024-07-04,2024-07-07,Monsoon,Net Banking,17719.35,3892.7,2533.89,6747.19,1026.36,896.02,31023.47,3,31023.47,6204.69,10341.16
123,957,363,21,2023-10-21,2023-12-17,2023-12-23,Winter,Net Banking,27161.1,13827.98,5718.11,796.89,7075.28,1875.14,52704.22,6,52704.22,10540.84,8784.04
124,52,456,140,2024-07-08,2024-08-09,2024-08-13,Monsoon,UPI,62660.24,11881.8,1969.42,4810.24,2747.41,3919.96,80149.15,4,80149.15,16029.83,20037.29
125,458,167,47,2023-04-08,2023-04-20,2023-04-24,Summer,Credit Card,4702.08,18675.4,9305.49,6308.41,8540.81,88.91,47443.28,4,47443.28,9488.66,11860.82
126,149,325,154,2024-05-09,2024-06-12,2024-06-19,Monsoon,Cash,48231.47,6063.06,4302.29,8349.18,3064.41,3787.8,66222.61,7,66222.61,13244.52,9460.37
127,470,21,62,2023-12-19,2024-01-02,2024-01-08,Winter,Credit Card,12805.86,12874.43,9842.13,1575.3,7492.08,1439.25,43150.55,6,43150.55,8630.11,7191.76
128,433,206,28,2023-12-09,2024-01-24,2024-01-31,Winter,Credit Card,31936.66,12286.96,2733.74,1164.25,1170.75,1250.2,48042.16,7,48042.16,9608.43,6863.17
129,311,316,185,2023-04-28,2023-06-23,2023-06-25,Monsoon,UPI,4820.66,2720.01,1860.84,9354.78,1461.75,498.12,19719.92,2,19719.92,3943.98,9859.96
130,191,142,40,2023-06-20,2023-07-20,2023-07-23,Monsoon,UPI,40015.71,4908.7,4731.72,336.94,3510.25,778.91,52724.41,3,52724.41,10544.88,17574.8
131,274,237,170,2024-07-16,2024-08-04,2024-08-07,Monsoon,Credit Card,6962.1,9381.08,3768.46,12227.73,6097.15,636.32,37800.2,3,37800.2,7560.04,12600.07
132,472,302,142,2024-08-20,2024-09-18,2024-09-23,Autumn,Cash,23078.15,2594.25,2362.38,3463.66,2055.34,1599.13,31954.65,5,31954.65,6390.93,6390.93
133,761,256,173,2023-04-23,2023-05-22,2023-05-26,Summer,Net Banking,6310.24,3948.48,7936.5,17419.02,4877.72,531.32,39960.64,4,39960.64,7992.13,9990.16
134,354,43,142,2024-04-17,2024-05-10,2024-05-14,Summer,Net Banking,19555.08,10884.61,2012.86,11247.53,1950.43,1031.41,44619.1,4,44619.1,8923.82,11154.78
135,442,213,91,2023-12-02,2023-12-25,2023-12-31,Winter,Net Banking,22091.34,23814.24,5002.27,10751.85,3649.0,3144.1,62164.6,6,62164.6,12432.92,10360.77
136,127,50,12,2023-07-25,2023-09-04,2023-09-08,Autumn,Debit Card,55972.48,12940.85,7321.5,17718.89,7067.05,4618.32,96402.45,4,96402.45,19280.49,24100.61
137,361,385,51,2024-03-18,2024-05-11,2024-05-15,Summer,Credit Card,16338.24,5985.41,3747.38,6331.23,2726.74,1231.02,33897.98,4,33897.98,6779.6,8474.5
138,546,201,166,2024-01-23,2024-03-16,2024-03-21,Summer,UPI,23031.75,8696.04,2797.82,9239.11,1121.69,996.38,43890.03,5,43890.03,8778.01,8778.01
139,546,425,89,2024-05-05,2024-05-21,2024-05-28,Summer,Credit Card,7614.11,7525.21,3612.42,9742.47,1936.03,726.86,29703.38,7,29703.38,5940.68,4243.34
140,634,115,7,2023-01-10,2023-02-20,2023-02-27,Winter,Net Banking,49381.22,13427.63,2300.08,2499.41,2492.57,3495.55,66605.36,7,66605.36,13321.07,9515.05
141,94,488,134,2024-04-11,2024-05-18,2024-05-21,Summer,Debit Card,2514.66,12815.86,14012.07,8615.35,7749.33,268.86,45438.41,3,45438.41,9087.68,15146.14
142,205,166,33,2023-01-14,2023-02-01,2023-02-07,Winter,Net Banking,21398.46,14265.47,7469.37,8873.06,2693.19,567.74,54131.81,6,54131.81,10826.36,9021.97
143,473,257,2,2024-10-13,2024-10-28,2024-10-31,Autumn,Net Banking,7170.06,4749.21,1279.37,7486.09,2887.08,437.03,23134.78,3,23134.78,4626.96,7711.59
144,533,241,174,2023-10-26,2023-11-26,2023-11-30,Autumn,Cash,20466.64,2725.89,4106.39,6470.89,2369.6,72.82,36066.59,4,36066.59,7213.32,9016.65
145,493,424,176,2024-10-27,2024-11-26,2024-12-03,Autumn,Credit Card,82022.36,7315.42,3866.5,5115.6,2773.7,5273.08,95820.5,7,95820.5,19164.1,13688.64
146,128,54,60,2023-12-30,2024-02-25,2024-03-02,Winter,Credit Card,76140.36,9497.95,2465.86,6565.37,996.83,2776.1,92890.27,6,92890.27,18578.05,15481.71
147,495,108,133,2024-03-03,2024-04-21,2024-04-23,Summer,Net Banking,3965.04,3697.59,2966.31,2447.28,1410.0,175.63,14310.59,2,14310.59,2862.12,7155.3
148,456,170,90,2024-09-27,2024-10-19,2024-10-25,Autumn,Credit Card,13155.54,9851.9,1592.1,2884.3,1273.58,731.81,28025.61,6,28025.61,5605.12,4670.94
149,372,366,192,2023-03-05,2023-04-19,2023-04-23,Summer,Net Banking,4337.76,6278.47,3693.11,1544.41,3318.2,83.64,19088.31,4,19088.31,3817.66,4772.08
150,623,150,111,2024-09-02,2024-09-21,2024-09-23,Autumn,Debit Card,10589.64,4949.44,2868.22,217.2,3194.22,807.87,21010.85,2,21010.85,4202.17,10505.42
151,892,265,4,2023-04-27,2023-06-12,2023-06-15,Monsoon,Cash,3141.18,9606.14,4062.93,6738.53,6352.07,228.64,29672.21,3,29672.21,5934.44,9890.74
152,174,446,176,2023-06-17,2023-07-16,2023-07-18,Monsoon,Credit Card,20558.94,3648.78,4027.02,4037.58,2653.39,2399.27,32526.44,2,32526.44,6505.29,16263.22
