tourist_id,age,gender,country,travel_type,budget,average_spending
74,30,Male,India,Solo,39891.51,25885.35
75,33,Female,India,Family,62170.38,96114.24
76,49,Female,UAE,Solo,83928.51,54727.22
77,39,Male,India,Couple,29615.5,21235.52
78,51,Female,Japan,Friends,103656.14,40936.96
79,65,Male,Canada,Solo,64159.05,74164.09
80,59,Male,India,Friends,11374.05,37160.52
81,62,Male,India,Family,75233.12,56221.72
82,70,Male,India,Couple,27731.27,24556.93
83,70,Male,India,Family,60781.43,50329.78
84,22,Male,India,Friends,39465.78,39621.02
85,61,Female,India,Business,27279.01,40494.09
86,26,Female,Australia,Family,126422.79,59194.96
87,55,Male,India,Solo,14237.1,30598.85
88,44,Male,India,Family,51933.06,57284.34
89,55,Male,India,Family,61609.73,46222.9
90,42,Male,India,Family,30317.48,122466.59
91,29,Male,USA,Family,78373.15,68099.37
92,62,Female,India,Couple,29194.77,39648.22
93,51,Female,India,Friends,28316.14,40768.1
94,20,Male,USA,Family,58802.12,92159.35
95,70,Female,India,Solo,17069.17,38210.93
96,25,Male,India,Friends,39603.46,36786.11
97,50,Male,India,Family,40405.44,36541.55
98,21,Male,India,Solo,35313.45,28199.36
99,48,Female,India,Family,32155.78,77086.16
100,59,Female,India,Couple,20028.84,33012.98
101,69,Female,India,Family,76243.07,47797.61
102,29,Male,UK,Family,61606.51,68461.34
103,75,Male,USA,Family,82597.23,96043.49
104,30,Female,India,Solo,16833.46,42708.14
105,33,Female,Germany,Couple,72066.28,54057.5
106,48,Female,India,Couple,16484.95,47268.28
107,57,Female,India,Couple,23732.21,29461.18
108,30,Female,UAE,Couple,62721.18,61186.76
109,62,Male,India,Solo,23966.03,48229.84
110,44,Male,UK,Couple,79516.15,44367.39
111,28,Male,India,Family,41485.11,59861.87
112,44,Female,Germany,Couple,97348.9,45228.94
113,47,Female,India,Couple,36177.95,30088.58
114,33,Female,India,Couple,37824.39,37235.76
115,27,Male,India,Solo,39738.21,23553.49
116,64,Male,India,Couple,34291.5,44170.4
117,62,Male,India,Couple,26754.61,36585.32
118,18,Female,Japan,Solo,79579.04,44295.7
119,59,Male,India,Family,38090.14,59507.49
120,47,Male,UAE,Family,63862.39,75062.91
121,63,Female,India,Friends,28804.33,44094.63
122,63,Male,Germany,Solo,139343.44,72524.23
123,39,Male,India,Family,64902.75,46554.91
124,57,Male,UK,Solo,138084.72,32157.43
125,65,Male,India,Friends,20919.72,45972.29
126,21,Male,India,Family,32043.72,49414.94
127,41,Male,India,Family,58037.91,65008.49
128,67,Male,India,Couple,26189.01,68636.28
129,59,Female,USA,Family,137113.14,90753.9
130,62,Male,UK,Family,82046.38,89369.63
131,75,Female,India,Couple,11633.8,36739.81
132,41,Female,India,Family,71477.99,39415.1
133,48,Female,India,Couple,30199.19,30667.03
134,62,Male,India,Friends,12619.26,33946.39
135,43,Male,India,Business,13280.95,28632.56
136,35,Male,India,Family,73749.66,30074.52
137,51,Male,India,Business,26243.05,51416.77
138,26,Female,India,Couple,29340.53,21342.71
139,36,Male,India,Friends,16969.84,49738.72
140,51,Female,India,Couple,29381.54,48584.42
141,38,Female,India,Family,72095.39,63239.55
142,46,Female,India,Solo,33680.45,34868.88
143,28,Female,India,Couple,18644.39,30739.48
144,72,Male,India,Couple,38686.42,52451.61
145,57,Male,USA,Couple,147320.61,75433.35
146,71,Male,India,Solo,39813.19,31670.3
147,54,Male,India,Couple,16154.66,21771.2
148,63,Male,India,Business,14438.33,46439.65
149,46,Male,India,Solo,10747.76,51723.1
150,49,Male,Japan,Friends,65605.33,90856.59
151,65,Female,India,Couple,36879.32,31470.3
152,66,Male,UK,Family,142229.21,81713.4
153,39,Male,USA,Friends,63942.33,71881.75
154,53,Male,India,Couple,35226.31,23130.22
155,46,Female,India,Solo,29239.38,35325.28
156,55,Male,UK,Family,69571.57,93355.15
157,23,Female,India,Business,39275.19,24712.1
158,43,Male,India,Family,55577.79,32844.35
159,21,Female,India,Family,51382.02,59641.68
160,42,Female,India,Couple,19242.56,35313.18
161,46,Male,India,Friends,32245.83,35935.1
162,44,Female,India,Friends,39110.82,25722.63
163,45,Female,India,Family,34303.9,53903.23
164,31,Female,India,Friends,39599.15,37999.74
165,22,Female,India,Couple,37432.31,27403.69
166,44,Male,India,Family,67762.19,54207.44
167,26,Male,India,Couple,26616.01,24515.46
168,20,Female,Australia,Couple,105928.11,52033.31
169,47,Male,India,Solo,17880.31,32536.53
170,58,Female,India,Family,44384.45,83185.57
171,29,Female,France,Family,52844.26,83591.17
172,66,Female,India,Business,27966.74,66323.8
173,41,Female,India,Friends,28839.88,36660.96
174,48,Male,India,Family,30877.25,49121.81
175,34,Male,India,Solo,23831.32,28470.03
176,62,Male,India,Solo,20834.9,41677.7
177,58,Female,India,Couple,29168.4,25444.88
178,22,Male,UK,Couple,59450.87,46833.35
179,66,Male,India,Friends,34804.66,23252.24
180,61,Female,India,Family,48126.13,47843.49
181,52,Female,Australia,Solo,101817.07,83122.11
182,41,Female,India,Friends,14890.87,25151.37
183,31,Male,India,Friends,33853.2,36598.94
184,53,Male,India,Friends,13496.97,33119.88
185,26,Male,India,Couple,20877.06,34891.8
186,70,Female,France,Family,126358.95,74995.93
187,39,Male,USA,Solo,131457.41,43756.23
188,32,Male,Germany,Solo,72657.44,54027.39
189,26,Male,India,Solo,30724.54,29698.4
190,68,Male,India,Family,67866.7,61828.67
191,20,Male,India,Family,55673.96,55514.01
192,21,Female,India,Couple,11987.42,64529.02
193,60,Male,UK,Family,142009.81,56519.7
194,31,Male,India,Couple,12723.38,69728.99
195,72,Female,Japan,Couple,66055.73,55130.02
196,50,Male,India,Solo,34587.6,29029.42
197,66,Male,India,Family,78213.19,55549.18
198,28,Male,UAE,Solo,71401.54,54341.33
199,50,Female,India,Family,51983.29,42689.9
200,24,Male,Australia,Business,92409.18,61929.57
201,50,Male,India,Family,45714.01,31490.78
202,47,Male,India,Family,48062.52,51299.62
203,36,Male,India,Family,49239.06,47830.03
204,47,Female,India,Friends,16776.2,33299.21
205,44,Female,Singapore,Couple,135677.37,49331.4
206,75,Female,Canada,Couple,51278.58,31457.6
207,61,Female,India,Couple,25679.87,17058.12
208,61,Male,India,Couple,30851.11,33206.58
209,24,Male,India,Business,20158.95,33992.2
210,56,Female,India,Friends,31756.02,30594.26
211,35,Female,UK,Friends,144322.51,41194.48
212,40,Female,India,Business,39625.7,21034.58
213,50,Female,India,Family,36109.5,48274.39
214,49,Female,India,Friends,10891.71,49393.28
215,65,Male,Australia,Family,52674.89,67503.53
216,29,Female,India,Couple,19082.58,74566.76
217,57,Male,UK,Family,101994.89,75978.22
218,49,Female,India,Family,54512.52,47550.87
219,34,Female,Australia,Family,51767.04,78123.15
220,66,Male,Singapore,Friends,61913.41,56259.32
221,46,Female,Germany,Couple,53598.11,31635.16
222,29,Female,France,Couple,93068.11,58080.16
223,37,Female,India,Solo,30250.74,30395.13
224,60,Female,India,Friends,25200.55,43111.0
225,43,Female,India,Business,28508.19,34780.47
226,40,Female,India,Solo,11353.55,24598.09
227,71,Female,India,Family,31344.99,30482.99
228,75,Female,India,Couple,39758.37,37387.98
229,44,Female,India,Couple,17038.66,60355.9
230,37,Male,Canada,Solo,80491.25,57640.39
231,39,Male,India,Couple,23827.28,39647.45
232,73,Female,India,Friends,17998.57,55312.48
233,62,Female,India,Business,21332.13,34189.81
234,42,Female,India,Friends,13001.7,57867.8
235,61,Male,India,Family,68245.2,41885.12
236,39,Male,India,Couple,23079.73,58770.47
237,49,Male,Australia,Family,78735.56,60774.2
238,21,Female,Singapore,Couple,72588.6,53435.67
239,65,Male,USA,Family,109186.47,99136.95
240,35,Male,India,Family,51355.29,53969.71
241,40,Male,India,Couple,34123.8,32828.39
242,45,Female,India,Couple,28748.92,66748.67
243,47,Male,France,Family,101622.41,85549.06
244,29,Female,India,Business,32266.24,50418.2
245,47,Female,Canada,Family,111442.23,82078.1
246,67,Female,Canada,Family,55988.17,81202.79
247,30,Female,India,Couple,32393.01,42168.19
248,66,Female,Australia,Couple,136018.59,52802.51
249,22,Male,Australia,Couple,78704.46,39101.44
250,28,Female,India,Couple,17154.5,85173.98
251,27,Male,India,Family,45527.03,34175.64
252,49,Female,India,Friends,16059.72,28816.04
253,35,Male,India,Family,43888.6,49830.77
254,53,Male,India,Solo,31674.22,41955.68
255,68,Male,India,Friends,19417.14,27885.22
256,37,Male,France,Couple,86343.42,54693.76
257,60,Male,India,Friends,35282.51,25969.99
258,33,Male,India,Family,36032.13,44685.66
259,60,Female,India,Solo,27994.64,50524.11
260,67,Female,India,Family,49497.53,82786.48
261,65,Male,Canada,Couple,60681.4,46702.44
262,31,Female,India,Couple,27684.43,27172.16
263,49,Female,India,Solo,26372.35,23077.88
264,48,Male,UAE,Friends,143697.23,50888.7
265,41,Female,USA,Friends,52107.42,41218.59
266,75,Male,Australia,Family,144084.83,73161.41
267,62,Male,India,Couple,29168.47,39028.54
268,62,Female,France,Family,103491.07,86597.58
269,33,Female,India,Friends,21789.27,43027.03
270,34,Female,India,Friends,17063.81,37050.71
271,31,Male,Canada,Family,137946.72,90725.94
272,67,Female,UK,Couple,58009.46,55669.59
273,67,Female,India,Couple,35234.9,44582.94
274,63,Female,Germany,Friends,132440.09,46654.88
275,62,Female,India,Couple,28063.48,55548.14
276,70,Female,India,Solo,11562.96,41143.7
277,59,Male,India,Family,36804.61,40576.99
278,43,Male,India,Couple,12466.96,47358.22
279,28,Male,India,Business,34918.64,41082.3
280,66,Male,Australia,Family,129264.23,93852.32
281,38,Female,India,Family,43033.99,68539.01
282,61,Female,UK,Couple,91449.64,41875.99
283,29,Female,Germany,Friends,138434.14,46243.68
284,32,Male,Japan,Friends,114710.67,52357.65
285,58,Male,France,Business,69826.62,41838.25
286,62,Male,India,Family,60019.64,44307.82
287,27,Male,Japan,Couple,106724.29,68985.69
288,18,Female,UK,Friends,132725.75,70359.81
289,49,Male,India,Couple,38381.57,30947.52
290,70,Female,India,Family,36509.97,36880.23
291,72,Male,India,Business,18489.02,33976.3
292,61,Male,India,Couple,14378.29,32835.53
293,36,Female,India,Family,42415.9,45869.32
294,55,Female,India,Family,73572.17,52564.71
295,62,Female,India,Family,65422.66,50620.62
296,65,Female,India,Family,32605.63,36159.99
297,33,Female,France,Business,143932.19,67164.98
298,69,Male,India,Family,49046.88,50377.98
299,43,Female,India,Friends,11233.75,36049.15
300,29,Female,India,Family,46958.84,48948.8
301,47,Male,India,Family,51646.48,38566.76
302,34,Male,India,Business,24976.32,55041.8
303,71,Female,USA,Friends,78292.55,53783.44
304,74,Female,India,Family,43187.9,75894.02
305,38,Female,France,Couple,149456.51,51030.53
306,66,Male,India,Friends,29099.57,27820.24
307,46,Male,India,Solo,15494.24,45300.0
308,48,Female,India,Family,35801.2,51847.39
309,75,Female,India,Couple,31270.87,18959.66
310,49,Female,India,Friends,36006.38,35654.15
311,25,Female,India,Friends,15419.65,66666.36
312,28,Female,India,Family,40619.81,63065.05
313,18,Male,India,Solo,33047.6,70100.35
314,61,Male,France,Solo,118131.23,46297.94
315,61,Male,India,Family,77560.99,63915.8
316,71,Female,India,Solo,34920.98,35436.75
317,60,Female,India,Business,27826.13,25031.05
318,18,Female,UAE,Family,145089.6,86588.38
319,38,Male,India,Solo,29309.32,22463.69
320,38,Male,USA,Family,110229.15,140308.52
321,23,Female,India,Couple,33126.32,40197.92
322,43,Male,India,Couple,21655.09,105473.39
323,43,Female,India,Business,14624.04,27015.7
324,37,Female,Australia,Family,142169.98,81350.1
325,75,Male,India,Solo,21023.7,52540.32
326,30,Female,India,Couple,18054.38,57882.8
327,56,Female,India,Couple,21047.08,21296.66
328,29,Female,India,Solo,25400.24,21336.4
329,47,Male,India,Family,76533.38,61605.85
330,51,Male,India,Couple,37216.23,41731.31
331,48,Female,India,Solo,37087.11,21761.68
332,71,Male,India,Couple,11431.85,44508.42
333,22,Male,India,Family,50650.97,46877.52
334,47,Female,India,Family,68432.34,39845.14
335,19,Male,USA,Family,128617.71,83629.12
336,71,Female,India,Couple,31131.36,16330.63
337,38,Female,UK,Couple,130783.41,35415.8
338,39,Male,India,Solo,39465.59,47191.4
339,34,Male,India,Solo,21848.02,43229.84
340,18,Male,India,Family,50254.58,40279.38
341,60,Female,India,Friends,28502.34,29541.22
342,62,Female,Australia,Solo,63511.39,45573.9
343,30,Male,Australia,Family,68822.11,86947.6
344,19,Male,India,Solo,17253.41,44640.06
345,71,Male,India,Family,37408.28,40551.61
346,45,Male,India,Friends,32163.44,40960.17
347,46,Female,India,Friends,27556.79,28256.85
348,30,Female,India,Friends,11527.67,31312.57
349,18,Male,India,Family,78974.35,63371.1
350,72,Female,USA,Family,105430.45,66970.72
351,36,Male,India,Family,59551.96,66155.07
352,57,Female,India,Solo,10570.59,54242.74
353,54,Female,India,Couple,29449.01,34175.17
354,74,Female,India,Family,62308.99,39218.72
355,46,Female,India,Couple,15766.04,39013.36
356,40,Female,India,Couple,37272.1,30546.36
357,39,Female,India,Couple,31341.56,65559.28
358,44,Female,UK,Family,134453.13,66563.19
359,57,Male,India,Family,63352.82,27262.1
360,26,Male,India,Family,35045.19,36258.31
361,44,Female,India,Couple,11411.48,36665.37
362,19,Female,France,Couple,65860.55,67056.69
363,70,Male,Australia,Couple,61396.93,49141.82
364,32,Male,India,Family,79683.14,50319.53
365,68,Female,UK,Family,105702.24,90117.88
366,75,Male,Germany,Friends,110428.95,62582.58
367,24,Male,Canada,Couple,95713.56,39854.34
368,71,Male,UAE,Family,110965.58,53150.92
369,72,Male,Australia,Solo,60541.11,51995.04
370,58,Male,Germany,Friends,65703.25,36181.86
371,36,Female,UK,Family,137049.27,120421.03
372,27,Female,India,Solo,35457.85,27664.59
373,46,Female,UK,Solo,133481.34,70259.85
374,48,Female,India,Couple,17980.47,38746.7
375,63,Female,India,Family,37580.56,29362.96
376,66,Female,UK,Solo,92882.28,65654.99
377,44,Female,Japan,Family,118219.86,73200.37
378,19,Female,India,Solo,34187.41,32430.12
379,22,Male,India,Couple,33171.18,42813.3
380,45,Male,India,Solo,37675.57,99467.72
381,27,Male,UAE,Business,129907.08,40793.62
382,74,Female,India,Friends,31023.71,38484.84
383,73,Female,USA,Couple,84415.74,63171.01
384,70,Female,France,Family,64686.18,67139.19
385,43,Female,India,Friends,28730.79,0.0
386,57,Female,India,Friends,33446.89,26450.12
387,43,Male,France,Solo,103743.35,62155.07
388,42,Male,India,Family,40686.73,28661.04
389,50,Female,India,Family,38001.37,41070.46
390,19,Female,India,Family,66325.46,43281.59
391,50,Male,USA,Friends,75975.65,53990.9
392,50,Female,India,Family,77067.15,33856.77
393,46,Female,India,Solo,20169.41,28089.61
394,33,Male,India,Couple,33543.68,43337.66
395,63,Male,USA,Family,74763.33,79240.25
396,38,Male,Australia,Couple,59798.78,41400.33
397,63,Female,Australia,Solo,56219.37,39849.3
398,74,Male,India,Couple,21078.83,33737.74
399,51,Female,India,Family,49739.12,58206.38
400,34,Female,India,Business,30670.54,34073.9
401,49,Female,Australia,Solo,62712.4,62523.77
402,63,Female,India,Family,73163.58,77654.6
403,25,Male,India,Solo,14705.19,36932.51
404,53,Female,Canada,Solo,135231.78,77662.86
405,25,Male,India,Couple,25683.32,51922.95
406,25,Female,India,Couple,18819.44,42969.55
407,19,Male,India,Family,32432.55,42325.79
408,75,Female,France,Couple,131912.51,76425.17
409,49,Male,India,Couple,36112.8,37056.29
410,44,Female,India,Family,75014.36,45624.08
411,68,Female,India,Family,60285.49,54696.86
412,66,Male,India,Family,52496.47,39137.35
413,46,Male,Germany,Couple,129981.16,47422.34
414,60,Female,India,Friends,20169.94,45641.76
415,20,Female,USA,Family,136595.36,74574.47
416,63,Male,India,Family,65369.94,37707.82
417,53,Male,India,Solo,38655.05,30204.73
418,52,Male,Japan,Family,125055.86,91342.73
419,50,Male,India,Friends,15392.3,67875.02
420,19,Female,UK,Couple,120561.77,51954.97
421,74,Female,India,Family,46021.56,36745.71
422,55,Male,India,Friends,20198.7,38290.64
423,29,Female,India,Family,49100.55,55355.91
424,23,Male,UAE,Family,78535.17,64945.36
425,29,Female,UK,Couple,145216.47,44361.29
426,61,Male,India,Business,15443.74,51408.39
427,63,Male,India,Solo,14273.82,60092.08
428,75,Female,India,Friends,36985.05,53436.76
429,21,Male,India,Family,41824.56,34460.62
430,50,Female,Japan,Couple,81833.64,78807.2
431,53,Female,India,Solo,29006.24,41287.62
432,74,Male,India,Business,30252.92,31202.34
433,33,Male,India,Couple,12517.25,36940.69
434,58,Male,UK,Solo,104043.98,92771.94
435,28,Male,India,Couple,37344.78,33714.66
436,46,Male,India,Family,71468.59,54626.34
437,36,Male,India,Friends,24465.59,21605.6
438,56,Female,Australia,Couple,85141.79,41780.68
439,58,Male,India,Family,32274.24,74332.61
440,65,Male,India,Couple,13689.31,62807.62
441,26,Female,Germany,Couple,100482.02,53776.25
442,69,Female,France,Friends,113516.99,57145.76
443,66,Female,India,Family,46081.91,62673.94
444,31,Female,Japan,Couple,141401.82,80757.62
445,26,Male,India,Solo,10287.36,38660.09
446,29,Female,India,Family,54448.84,37291.35
447,43,Male,UK,Family,57752.31,70624.16
448,19,Female,India,Couple,34383.44,29833.77
449,70,Female,India,Friends,34356.09,24287.12
450,18,Male,India,Friends,23337.33,52830.51
451,32,Male,UK,Family,120919.78,74982.69
452,30,Male,Australia,Family,130841.45,59417.65
453,32,Male,Singapore,Business,53679.6,24163.78
454,49,Male,India,Business,29153.08,44974.4
455,25,Female,India,Family,57589.26,78113.81
456,60,Male,India,Solo,11951.48,38597.77
457,34,Male,France,Family,77432.8,88230.22
458,72,Male,Singapore,Family,103294.15,76331.66
459,34,Female,India,Couple,30192.99,41706.77
460,59,Male,Germany,Couple,134434.16,41557.86
461,44,Female,India,Family,54778.74,49939.58
462,51,Male,France,Couple,77793.3,92022.14
463,44,Female,India,Couple,20041.17,28796.08
464,74,Male,Singapore,Couple,118954.9,61928.64
465,22,Male,India,Couple,11885.32,34450.52
466,58,Male,India,Couple,10720.71,31826.41
467,69,Female,Australia,Couple,97357.65,87377.03
468,39,Male,Australia,Family,73674.37,74288.15
469,22,Female,UK,Family,107893.45,62085.66
470,23,Male,Canada,Couple,139008.37,40871.06
471,62,Male,UK,Solo,130238.71,65448.07
472,21,Female,India,Couple,13054.83,43980.48
473,21,Male,India,Couple,12874.91,30003.72
474,66,Female,India,Family,62986.2,69048.97
475,18,Female,India,Family,73996.91,48133.21
476,57,Male,India,Friends,33487.87,25281.66
477,47,Female,India,Solo,10368.66,55943.96
478,63,Male,India,Friends,37131.1,69050.6
479,26,Female,India,Family,61042.54,47259.01
480,29,Male,India,Solo,13830.42,30313.38
481,55,Female,India,Family,47887.18,56949.75
482,55,Male,India,Couple,20287.01,29549.44
483,41,Male,India,Family,37230.02,56122.53
484,33,Male,India,Couple,16011.16,47466.55
485,30,Male,India,Family,64739.08,47775.26
486,47,Female,Germany,Family,83566.05,79811.02
487,37,Female,India,Solo,36283.16,40074.59
488,20,Female,India,Solo,16690.75,39040.3
489,32,Female,India,Couple,32037.59,41431.56
490,70,Female,Australia,Couple,90031.26,54612.58
491,70,Male,India,Solo,10900.53,48712.62
492,25,Male,India,Couple,27570.59,53482.22
493,66,Female,India,Solo,15934.75,48489.66
494,29,Male,France,Family,83981.75,64316.12
495,53,Male,India,Solo,35286.44,35377.98
496,24,Male,Australia,Solo,115486.92,54316.18
497,74,Male,India,Couple,23686.11,52733.71
498,41,Female,India,Friends,39313.06,44801.49
499,57,Female,Germany,Solo,64443.22,62796.16
500,26,Male,India,Couple,21227.66,63632.65
501,56,Female,UAE,Couple,54619.52,43953.91
502,57,Male,Germany,Couple,64856.69,43155.48
503,33,Male,India,Couple,13793.76,27589.31
504,50,Female,India,Solo,24120.02,55678.98
505,60,Male,India,Couple,36472.66,37936.23
506,66,Female,India,Family,46091.16,34311.96
507,41,Female,USA,Family,76833.55,80798.85
508,43,Male,India,Friends,23562.4,24473.82
509,33,Female,India,Couple,21312.49,25907.35
510,28,Female,India,Solo,32548.68,37538.8
511,36,Female,India,Couple,11234.29,63235.25
512,50,Female,India,Family,50447.64,60478.2
513,69,Female,India,Couple,15386.97,42213.71
514,32,Female,India,Couple,12472.56,36734.95
515,71,Male,UK,Friends,59840.91,54846.74
516,22,Female,India,Couple,15899.39,44367.79
517,39,Female,India,Friends,30506.18,46460.25
518,35,Male,USA,Business,149840.51,48276.16
519,66,Female,India,Couple,34669.27,33413.21
520,68,Female,Japan,Friends,125780.61,53219.15
521,18,Female,India,Business,38544.67,38125.61
522,73,Female,India,Family,40493.75,57879.99
523,32,Female,USA,Family,129191.49,70957.36
524,38,Male,India,Friends,22530.64,28142.0
525,46,Female,Germany,Solo,63895.02,52400.17
526,73,Male,India,Family,54990.01,45607.8
527,60,Female,India,Couple,30572.88,44024.42
528,43,Female,India,Solo,33560.73,30515.65
529,26,Male,UAE,Business,106819.09,45928.01
530,69,Female,Singapore,Couple,89063.61,50641.39
531,52,Female,India,Solo,27085.45,37726.83
532,46,Female,India,Solo,26587.2,26456.4
533,20,Female,India,Couple,37340.36,62861.9
534,42,Female,India,Couple,25731.87,38311.66
535,47,Male,India,Solo,19803.16,23095.92
536,44,Female,India,Solo,26093.59,39505.33
537,48,Male,India,Friends,16194.39,46973.4
538,73,Male,India,Friends,29943.78,39514.74
539,28,Female,India,Family,64241.8,48921.46
540,35,Male,India,Solo,11919.1,38566.78
541,43,Male,India,Friends,36377.18,52655.41
542,47,Female,India,Family,44395.59,59293.39
543,74,Female,India,Friends,33770.4,27185.92
544,43,Male,India,Couple,28532.1,39628.99
545,45,Female,India,Family,64926.1,39212.15
546,24,Female,India,Solo,36566.25,36930.18
547,28,Female,France,Family,116665.69,84217.51
548,22,Male,France,Couple,126186.08,56782.66
549,25,Female,India,Solo,32996.17,26508.92
550,38,Female,India,Couple,25181.94,24426.58
551,47,Male,India,Family,67486.81,68788.75
552,42,Female,USA,Friends,89667.43,46381.01
553,18,Female,India,Friends,19813.31,57369.13
554,65,Female,India,Solo,26452.86,19076.64
555,33,Female,India,Friends,35246.88,43305.52
556,28,Male,India,Couple,13724.54,25778.84
557,65,Female,India,Family,30560.53,56361.49
558,35,Male,India,Couple,31432.37,74746.66
559,75,Male,India,Solo,29043.71,56769.06
560,51,Male,India,Couple,11572.46,39499.41
561,18,Male,UK,Family,142882.06,74900.33
562,41,Male,India,Solo,10838.33,32754.16
563,18,Female,Australia,Family,56317.15,83408.56
564,74,Male,UK,Friends,66788.29,73309.49
565,28,Male,India,Solo,19814.24,48763.91
566,53,Male,India,Friends,21851.92,37325.61
567,45,Male,India,Solo,19701.03,32970.99
568,18,Female,India,Solo,16383.04,32702.8
569,32,Male,India,Couple,28717.28,24307.07
570,20,Male,France,Couple,126754.51,42245.11
571,49,Male,USA,Family,142222.39,71916.23
572,54,Male,India,Solo,19730.63,39789.05
573,58,Female,India,Business,30811.62,49493.82
574,39,Male,India,Friends,19539.01,40304.25
575,72,Female,India,Solo,37363.1,26228.11
576,46,Female,India,Family,55171.0,84723.02
577,63,Male,India,Family,74838.97,79485.15
578,37,Male,USA,Family,111976.62,88419.12
579,21,Male,India,Couple,14550.12,42180.81
580,31,Male,India,Family,79427.57,69541.56
581,46,Female,India,Couple,33609.13,35671.3
582,20,Female,India,Couple,10710.8,22531.96
583,72,Female,India,Couple,11622.22,26616.24
584,60,Male,Australia,Family,72244.41,66361.09
585,73,Female,India,Couple,28893.48,31495.13
586,22,Female,India,Couple,29031.01,36065.37
587,27,Male,India,Couple,26465.41,44789.2
588,68,Male,India,Solo,31749.67,51957.56
589,37,Male,USA,Couple,67643.55,53547.74
590,33,Female,India,Couple,29068.11,54071.27
591,35,Female,India,Business,21947.33,36169.14
592,28,Female,India,Family,66746.41,48901.32
593,66,Male,Australia,Family,51981.11,80774.81
594,42,Female,Germany,Family,142153.25,68563.11
595,56,Male,India,Couple,21413.51,45038.3
596,37,Female,India,Family,54042.22,43944.83
597,39,Male,USA,Couple,141613.19,39058.44
598,18,Male,Germany,Family,87425.78,82084.58
599,43,Female,Japan,Business,87314.49,61658.78
600,49,Female,India,Family,50439.38,61709.37
601,20,Male,India,Family,39711.41,38883.62
602,45,Female,UK,Family,84857.87,71606.61
603,63,Female,India,Couple,11731.14,31469.44
604,42,Female,USA,Couple,53450.76,56732.53
605,70,Female,India,Family,64873.57,98325.48
