hotel_id,destination_id,hotel_name,hotel_type,price_per_night,hotel_rating,occupancy_rate,rooms
127,183,Golden Inn,Homestay,1643.45,4.3,62.3,165
128,43,Sea Inn,Standard,5577.07,4.5,68.7,150
129,1,Sunset Inn,Luxury,12157.37,4.2,65.6,58
130,46,Sunset Inn,Resort,10528.65,4.9,90.7,127
131,58,Mountain Resort,Standard,3085.03,3.6,49.4,148
132,173,Royal Hotel,Resort,13043.38,5.0,97.2,37
133,120,Sunset Resort,Resort,8273.01,4.3,61.5,71
134,75,Sea Lodge,Budget,1212.39,4.1,73.5,70
135,188,Sunset Hotel,Resort,6505.66,4.9,77.8,158
136,89,Golden Inn,Budget,2416.68,3.5,51.8,98
137,27,Royal Retreat,Standard,3968.12,3.6,60.6,91
138,24,Royal Lodge,Luxury,15021.97,4.8,82.9,41
139,149,Royal Retreat,Luxury,9272.12,4.4,71.8,53
140,61,Sunset Resort,Standard,5704.17,4.1,71.0,103
141,82,Royal Inn,Standard,5774.22,3.7,59.2,47
142,40,Mountain Retreat,Luxury,13338.57,3.7,51.8,73
143,116,Sea Inn,Standard,2361.68,4.7,77.5,200
144,179,Royal Resort,Budget,1052.15,4.6,86.8,121
145,132,Sea Resort,Luxury,21941.52,3.8,65.1,135
146,143,Royal Inn,Budget,1585.47,4.7,74.5,23
147,16,Royal Hotel,Resort,6981.33,4.1,68.4,185
148,22,Sea Inn,Budget,837.06,3.6,58.9,133
149,33,Sunset Resort,Luxury,10082.97,4.9,78.2,166
150,111,Mountain Retreat,Resort,5294.82,4.5,69.8,74
151,48,Mountain Hotel,Standard,2138.6,4.4,68.4,95
152,128,Silver Retreat,Standard,2243.92,3.9,53.1,71
153,165,Silver Hotel,Resort,11307.54,4.7,86.3,117
154,183,Silver Retreat,Standard,3376.14,4.3,67.1,89
155,47,Silver Hotel,Luxury,8498.16,4.7,77.1,140
156,136,Silver Hotel,Standard,5895.92,3.7,57.2,88
157,137,Golden Inn,Resort,12640.5,4.9,87.7,119
158,91,Sunset Hotel,Resort,6761.0,4.4,78.5,198
159,92,Grand Resort,Resort,14475.59,4.3,71.5,68
160,127,Royal Retreat,Budget,864.54,3.6,53.5,25
161,135,Sea Lodge,Standard,2805.86,3.7,58.2,102
162,16,Silver Hotel,Luxury,21164.23,4.8,90.2,38
163,96,Golden Retreat,Budget,1796.23,4.0,59.1,60
164,188,Sunset Retreat,Resort,11491.8,3.8,65.4,197
165,158,Royal Lodge,Budget,2184.57,4.1,69.2,95
166,33,Grand Lodge,Standard,3566.41,5.0,97.4,28
167,47,Sunset Lodge,Budget,1175.52,4.3,78.2,56
168,85,Royal Resort,Budget,2470.05,3.8,63.9,42
169,182,Golden Resort,Budget,1559.27,3.9,55.2,37
170,90,Grand Inn,Standard,2192.59,4.2,66.2,62
171,106,Mountain Resort,Standard,4184.1,3.7,54.0,167
172,167,Royal Hotel,Budget,1567.19,4.7,72.6,25
173,82,Grand Inn,Standard,3367.23,4.8,77.6,39
174,141,Grand Resort,Resort,10940.31,4.4,72.7,27
175,111,Royal Lodge,Resort,13897.53,3.7,47.2,72
176,49,Silver Lodge,Standard,3061.06,3.9,54.9,32
177,101,Sunset Retreat,Budget,1061.1,4.0,61.0,95
178,170,Mountain Hotel,Budget,964.88,3.8,59.5,40
179,122,Sea Retreat,Resort,9709.44,4.8,79.4,184
180,140,Sea Retreat,Standard,3477.61,4.2,63.4,139
181,68,Sea Lodge,Standard,2246.56,4.6,81.3,41
182,172,Silver Retreat,Standard,5882.82,4.4,74.0,119
183,134,Silver Retreat,Standard,4290.86,3.9,56.0,121
184,183,Silver Lodge,Luxury,21607.66,4.5,77.8,50
185,194,Royal Hotel,Standard,5233.84,3.7,53.0,194
186,112,Sunset Hotel,Standard,5336.43,3.9,67.1,37
187,23,Mountain Lodge,Standard,3304.51,3.9,58.9,23
188,180,Silver Retreat,Budget,991.28,3.7,55.5,169
189,195,Grand Inn,Homestay,1756.56,3.7,50.5,157
190,89,Sea Retreat,Resort,11547.88,4.4,72.5,64
191,71,Silver Lodge,Standard,4723.25,4.1,63.1,104
192,177,Golden Retreat,Standard,5683.34,4.8,75.0,97
193,80,Mountain Inn,Standard,5889.99,3.8,53.4,133
194,199,Sea Retreat,Resort,11049.79,3.6,50.6,124
195,190,Silver Resort,Standard,5284.07,4.3,64.2,99
196,182,Royal Lodge,Budget,2294.87,3.5,45.0,71
197,15,Mountain Inn,Standard,5672.12,4.6,74.3,138
198,130,Grand Inn,Standard,2967.75,4.2,66.7,141
199,151,Sea Hotel,Budget,2224.01,3.9,65.6,43
200,73,Grand Hotel,Luxury,22514.96,4.7,75.9,76
201,166,Royal Resort,Standard,4606.35,4.3,76.9,194
202,3,Royal Hotel,Standard,4404.57,3.5,45.0,98
203,183,Golden Resort,Homestay,1520.47,4.1,62.3,84
204,56,Golden Lodge,Standard,5297.24,4.1,57.8,150
205,170,Sunset Resort,Homestay,1754.48,4.4,69.1,195
206,28,Sea Resort,Standard,4562.38,4.8,79.4,186
207,77,Silver Hotel,Standard,5598.75,4.7,86.4,173
208,104,Golden Hotel,Budget,2026.18,4.5,84.6,86
209,108,Golden Inn,Standard,4332.09,5.0,94.7,107
210,186,Golden Lodge,Budget,1885.13,4.2,75.6,111
211,130,Royal Lodge,Standard,2724.54,3.6,45.0,86
212,186,Sunset Hotel,Resort,14469.23,4.8,86.4,76
213,91,Sunset Resort,Standard,3681.89,4.8,81.4,169
214,76,Grand Retreat,Standard,2214.71,4.5,77.1,178
215,19,Royal Lodge,Standard,2479.26,4.5,76.2,125
216,14,Royal Hotel,Resort,14923.48,4.0,71.1,137
217,37,Golden Hotel,Standard,5115.76,4.2,70.0,65
218,81,Grand Retreat,Budget,1265.0,4.6,72.4,60
219,126,Sunset Inn,Budget,1019.99,4.2,66.4,129
220,123,Grand Lodge,Standard,2797.66,4.1,56.3,102
221,194,Royal Inn,Resort,11767.48,4.4,68.5,197
222,89,Grand Retreat,Standard,4013.35,4.0,54.5,31
223,77,Mountain Lodge,Resort,10963.7,4.0,69.3,54
224,88,Mountain Resort,Homestay,2075.2,3.7,61.7,123
225,5,Golden Hotel,Standard,2844.76,3.5,49.1,51
226,94,Sunset Inn,Budget,1437.83,4.5,80.5,179
227,13,Grand Inn,Budget,1911.06,3.5,52.4,126
228,114,Silver Resort,Standard,3897.59,3.7,57.8,181
229,3,Golden Inn,Standard,4649.93,3.9,61.6,55
230,108,Grand Lodge,Resort,12187.66,3.7,47.4,47
231,128,Royal Resort,Standard,5326.0,5.0,86.4,124
232,76,Silver Retreat,Standard,5641.43,4.5,75.3,80
233,1,Grand Inn,Luxury,22198.95,4.5,69.4,43
234,200,Golden Inn,Budget,2338.12,4.5,74.9,95
235,68,Grand Hotel,Standard,5496.56,4.8,81.2,193
236,81,Grand Inn,Standard,5404.98,4.8,74.8,55
237,170,Sea Resort,Budget,2320.7,4.9,82.2,43
238,96,Royal Inn,Resort,9007.78,4.9,82.2,118
239,177,Sunset Retreat,Resort,11488.46,4.7,74.0,198
240,186,Sunset Hotel,Luxury,9763.12,4.9,86.0,165
241,174,Silver Retreat,Standard,5116.66,4.4,79.5,53
242,124,Grand Retreat,Resort,9406.88,3.6,54.5,23
243,181,Silver Lodge,Resort,12237.74,3.8,65.2,106
244,133,Golden Lodge,Budget,961.91,4.5,71.1,108
245,170,Mountain Hotel,Budget,2226.36,4.3,79.1,33
246,3,Royal Lodge,Budget,2243.04,4.8,90.3,39
247,193,Royal Resort,Standard,5880.58,3.6,46.7,184
248,97,Royal Inn,Standard,3836.38,4.7,80.1,147
249,115,Mountain Inn,Standard,2410.57,4.1,66.0,20
250,24,Silver Resort,Budget,2313.19,4.3,73.1,136
251,88,Grand Hotel,Standard,5377.27,4.0,67.1,173
252,122,Sea Retreat,Budget,993.84,4.6,73.3,107
253,91,Sunset Resort,Resort,10476.91,4.1,57.9,62
254,127,Golden Retreat,Luxury,9818.35,4.4,67.4,120
255,56,Sunset Hotel,Standard,4867.15,3.7,52.8,182
256,173,Sunset Retreat,Budget,1577.56,4.4,73.1,147
257,2,Grand Lodge,Budget,2390.02,4.8,83.4,150
258,200,Royal Lodge,Resort,6736.5,4.7,73.9,188
259,154,Sea Lodge,Budget,2298.36,4.1,67.0,197
260,196,Mountain Resort,Standard,5881.97,4.2,61.1,125
261,155,Golden Lodge,Budget,1308.15,4.6,84.8,161
262,162,Royal Lodge,Standard,4857.54,4.5,83.2,53
263,182,Royal Lodge,Budget,1722.24,4.5,79.5,110
264,144,Silver Retreat,Standard,4696.97,4.8,84.3,128
265,4,Grand Retreat,Budget,1047.06,4.5,70.3,61
266,74,Royal Inn,Budget,1974.01,3.9,64.2,28
267,92,Grand Lodge,Resort,13680.35,4.6,84.9,185
268,144,Silver Resort,Standard,4771.74,3.6,49.5,126
269,176,Silver Inn,Standard,2051.86,3.9,61.8,133
270,58,Golden Resort,Resort,12551.08,4.3,72.2,69
271,76,Golden Inn,Standard,2747.91,3.8,57.2,116
272,11,Silver Resort,Standard,2520.27,4.4,68.6,104
273,120,Royal Inn,Budget,1061.3,4.0,54.2,180
274,158,Sea Retreat,Resort,12899.08,4.3,62.6,101
275,135,Royal Lodge,Standard,2272.71,4.3,68.8,157
276,104,Royal Hotel,Luxury,19276.69,4.0,58.6,178
277,136,Silver Inn,Standard,2458.89,4.0,57.7,184
278,158,Royal Inn,Resort,11825.51,4.0,69.8,49
279,99,Golden Resort,Standard,2098.82,4.3,75.2,151
280,131,Grand Resort,Standard,5593.13,3.8,57.3,44
281,43,Sunset Lodge,Homestay,1706.45,4.4,67.8,181
282,199,Golden Retreat,Standard,5342.66,3.8,62.9,131
283,166,Grand Hotel,Resort,5237.53,4.6,70.0,38
284,14,Sea Lodge,Standard,2281.77,4.7,88.4,124
285,100,Mountain Retreat,Standard,3265.62,4.1,58.1,21
286,165,Grand Lodge,Budget,877.38,4.8,81.1,148
287,28,Golden Resort,Standard,4426.26,3.9,67.3,117
288,102,Grand Retreat,Resort,6563.23,3.8,61.4,159
289,76,Royal Resort,Homestay,1951.39,4.9,91.6,185
290,96,Grand Lodge,Homestay,2287.1,3.7,46.1,166
291,153,Silver Inn,Standard,3218.76,4.6,85.6,108
292,55,Golden Lodge,Standard,2569.82,3.8,59.1,84
293,50,Golden Lodge,Luxury,22488.27,4.8,91.4,160
294,119,Grand Resort,Budget,1941.86,3.9,54.2,168
295,125,Sea Hotel,Homestay,1941.2,3.9,55.8,37
296,50,Mountain Resort,Standard,4465.37,4.0,63.8,164
297,146,Sea Retreat,Standard,2674.56,4.0,67.5,184
298,112,Sea Hotel,Standard,4718.32,4.0,62.0,134
299,92,Mountain Lodge,Budget,985.02,4.5,68.1,91
300,36,Royal Resort,Resort,12335.45,4.4,77.1,24
301,130,Sunset Lodge,Budget,1784.13,4.7,75.8,29
302,142,Silver Retreat,Standard,4615.63,3.7,52.4,170
303,188,Royal Retreat,Resort,10011.23,3.6,49.2,22
304,170,Sunset Lodge,Standard,4736.65,4.6,71.9,60
305,46,Silver Hotel,Budget,2051.06,4.2,65.1,76
306,195,Grand Resort,Standard,3477.74,3.6,46.4,112
307,100,Mountain Inn,Standard,2159.62,4.5,68.5,153
308,163,Sunset Resort,Resort,10786.31,4.4,70.8,116
309,94,Sunset Inn,Budget,1678.33,4.1,72.3,152
310,104,Sunset Resort,Standard,3947.45,4.2,69.5,148
311,36,Royal Inn,Standard,4058.17,3.9,53.4,60
312,93,Sunset Inn,Budget,1923.89,4.1,61.9,49
313,124,Mountain Hotel,Budget,1804.34,4.5,74.1,82
314,12,Silver Hotel,Luxury,10290.31,4.3,77.4,57
315,15,Royal Lodge,Standard,5832.95,4.4,74.1,24
316,185,Sunset Resort,Budget,2410.33,3.8,58.9,140
317,124,Sunset Retreat,Standard,4403.35,4.7,86.8,66
318,160,Sea Hotel,Budget,2031.12,4.0,61.5,171
319,18,Mountain Hotel,Standard,2434.28,3.8,63.5,149
320,176,Royal Lodge,Standard,2385.19,4.2,69.7,29
321,137,Grand Inn,Budget,1619.81,3.7,56.2,20
322,199,Mountain Lodge,Budget,1515.16,4.8,87.2,129
323,59,Mountain Retreat,Resort,8505.18,4.7,88.3,198
324,148,Royal Resort,Luxury,16111.4,3.8,63.5,92
325,154,Mountain Resort,Resort,6890.21,4.6,83.5,167
326,134,Grand Retreat,Luxury,19127.28,4.5,72.4,112
327,28,Golden Lodge,Standard,3014.53,4.8,82.3,113
328,157,Golden Retreat,Standard,5019.89,4.1,70.1,143
329,46,Silver Retreat,Standard,3015.11,4.0,59.5,200
330,102,Sunset Inn,Budget,2071.28,4.2,71.3,61
331,26,Mountain Resort,Standard,5203.41,4.4,76.3,33
332,42,Golden Inn,Standard,5217.48,4.7,80.5,173
333,112,Sea Hotel,Luxury,14304.2,4.4,77.0,122
334,158,Sea Lodge,Budget,897.69,4.7,75.2,146
335,113,Sunset Lodge,Luxury,12862.11,3.6,53.5,152
336,179,Royal Inn,Standard,3438.96,4.5,84.2,42
337,71,Sea Retreat,Budget,1489.27,3.8,48.3,200
338,18,Silver Resort,Resort,12261.39,4.3,71.8,108
339,71,Royal Retreat,Standard,5718.86,4.4,68.7,124
340,130,Grand Lodge,Luxury,13002.28,4.9,91.8,85
341,138,Silver Resort,Resort,11941.92,4.9,87.5,82
342,194,Sunset Retreat,Standard,4726.38,4.8,90.2,143
343,30,Mountain Hotel,Standard,4707.65,3.8,53.7,110
344,133,Golden Resort,Budget,1222.04,3.6,54.8,107
345,20,Royal Retreat,Budget,1333.58,3.8,58.3,66
346,192,Royal Retreat,Budget,2053.09,3.9,55.0,87
347,53,Sunset Hotel,Standard,5345.34,4.0,67.4,50
348,21,Golden Retreat,Budget,1843.51,4.6,79.1,30
349,124,Sea Retreat,Standard,5592.48,4.8,85.0,90
350,126,Sunset Lodge,Standard,3121.07,3.8,58.4,33
351,135,Mountain Lodge,Budget,855.36,4.0,68.8,64
352,118,Golden Lodge,Homestay,1582.12,4.5,66.9,73
353,98,Sea Resort,Budget,1841.72,3.9,60.5,80
354,69,Silver Resort,Standard,3463.7,4.2,62.5,199
355,193,Sunset Retreat,Standard,3118.52,3.8,50.4,167
356,176,Grand Resort,Standard,5216.35,4.3,76.7,70
357,38,Golden Hotel,Resort,9729.87,3.5,47.6,54
358,162,Golden Resort,Budget,2135.07,4.0,63.5,165
359,13,Golden Hotel,Standard,2240.15,4.7,80.6,181
360,25,Sea Resort,Standard,3443.85,4.3,78.1,85
361,89,Grand Resort,Luxury,22745.27,4.9,80.9,167
362,167,Royal Resort,Budget,1403.69,4.5,75.4,134
363,21,Sea Retreat,Standard,4526.85,3.7,48.3,106
364,108,Silver Retreat,Budget,2243.13,3.6,45.6,78
365,81,Sea Resort,Standard,4421.54,4.1,72.0,112
366,192,Mountain Retreat,Budget,1084.44,4.8,76.9,80
367,170,Golden Inn,Standard,2842.29,4.1,57.7,141
368,141,Sunset Retreat,Luxury,16907.71,5.0,81.9,178
369,40,Mountain Resort,Luxury,11899.05,4.6,77.3,52
370,34,Royal Inn,Budget,859.76,4.0,69.8,141
371,120,Silver Resort,Homestay,1732.53,3.7,62.4,158
372,46,Mountain Lodge,Budget,1539.46,4.5,76.3,108
373,124,Sunset Inn,Budget,1551.16,4.0,58.0,97
374,3,Sunset Hotel,Luxury,13846.04,4.2,58.8,145
375,194,Grand Retreat,Standard,5191.86,4.4,78.3,160
376,96,Silver Retreat,Standard,3579.01,3.7,58.6,119
377,97,Grand Retreat,Standard,4501.29,4.3,75.7,176
378,178,Sea Lodge,Budget,2174.97,4.1,71.4,66
379,35,Golden Retreat,Standard,4470.92,3.9,61.9,68
380,83,Grand Lodge,Luxury,8376.23,5.0,85.1,52
381,184,Grand Hotel,Standard,2360.79,3.5,45.0,127
382,80,Mountain Resort,Budget,1588.26,4.7,77.9,57
383,15,Mountain Inn,Standard,4172.77,3.8,64.1,84
384,98,Grand Hotel,Resort,8847.98,5.0,84.4,28
385,51,Sunset Inn,Standard,4084.56,5.0,88.5,194
386,80,Royal Inn,Resort,12447.25,4.3,63.5,143
387,164,Sea Inn,Standard,5454.63,3.8,50.0,182
388,112,Royal Resort,Standard,4338.79,4.1,60.4,30
389,149,Mountain Lodge,Budget,1063.49,4.7,76.5,147
390,24,Sea Inn,Budget,901.62,4.5,79.3,47
391,33,Sea Lodge,Standard,5154.25,4.6,83.8,132
392,188,Golden Retreat,Standard,3432.67,3.7,61.5,144
393,181,Sea Lodge,Standard,4788.15,3.8,51.4,109
394,83,Sea Lodge,Budget,2354.61,4.3,62.6,59
395,116,Sea Lodge,Standard,3468.45,3.5,51.5,117
396,188,Grand Lodge,Standard,5427.32,4.7,76.3,36
397,169,Sunset Retreat,Homestay,1122.78,4.5,80.4,59
398,157,Mountain Resort,Standard,2441.86,4.3,62.5,53
399,46,Royal Inn,Resort,9853.7,3.6,52.9,119
400,169,Silver Lodge,Standard,3023.75,4.0,64.2,38
401,4,Royal Retreat,Resort,14284.04,4.7,80.4,183
402,16,Golden Retreat,Standard,5288.11,4.7,73.0,177
403,69,Golden Inn,Budget,2218.58,3.6,46.6,152
404,25,Royal Lodge,Luxury,14550.63,3.8,59.8,165
405,161,Silver Lodge,Resort,9151.85,3.7,56.8,111
406,173,Golden Retreat,Standard,5531.3,3.8,51.2,122
407,130,Royal Lodge,Standard,5993.73,4.2,65.0,100
408,141,Sea Resort,Homestay,1500.98,4.4,78.9,102
409,156,Silver Hotel,Standard,3500.25,4.3,74.7,112
410,116,Mountain Inn,Standard,4905.25,5.0,90.7,152
411,35,Sea Inn,Homestay,1310.57,3.8,63.4,25
412,198,Golden Resort,Resort,14191.12,4.3,71.6,166
413,40,Mountain Resort,Luxury,10653.82,3.9,66.7,83
414,60,Sea Inn,Standard,4281.95,4.4,67.9,39
415,186,Mountain Hotel,Standard,3953.11,4.8,87.3,44
416,153,Grand Lodge,Budget,1448.63,4.7,88.6,105
417,90,Mountain Retreat,Resort,14302.46,3.7,59.2,187
418,155,Golden Retreat,Resort,5541.28,4.3,67.1,164
419,39,Golden Hotel,Standard,2612.79,4.5,84.6,134
420,193,Silver Inn,Budget,1177.55,3.9,57.8,53
421,87,Silver Inn,Luxury,17318.59,3.9,57.8,131
422,199,Sunset Hotel,Budget,1617.57,3.8,55.1,166
423,51,Golden Lodge,Budget,1218.62,3.6,56.6,102
424,176,Grand Inn,Resort,11717.48,4.1,62.3,102
425,89,Grand Resort,Budget,1087.73,4.0,68.1,133
426,160,Grand Hotel,Luxury,11394.65,4.1,69.6,41
427,29,Royal Lodge,Budget,2375.44,4.8,89.4,23
428,88,Grand Resort,Budget,1565.1,3.5,45.0,157
429,55,Silver Resort,Standard,4195.2,4.4,81.9,197
430,179,Mountain Lodge,Budget,2340.27,4.3,65.9,35
431,73,Golden Lodge,Standard,3085.13,4.2,75.7,37
432,100,Golden Resort,Budget,2269.28,3.5,55.6,186
433,99,Mountain Lodge,Standard,5906.45,3.6,48.3,172
434,137,Royal Lodge,Luxury,24435.45,4.3,74.2,30
435,64,Sea Resort,Resort,9899.33,4.6,69.7,195
436,91,Sea Hotel,Standard,5983.98,5.0,85.0,35
437,161,Mountain Inn,Standard,5776.55,4.9,81.4,107
438,101,Grand Retreat,Budget,1685.22,4.5,82.4,195
439,59,Silver Hotel,Standard,3705.86,4.0,64.2,134
440,139,Golden Hotel,Luxury,17877.52,4.5,70.3,55
441,80,Silver Hotel,Budget,1531.11,4.9,91.2,187
442,145,Sea Inn,Resort,10573.4,4.9,79.5,101
443,38,Sunset Resort,Budget,2296.22,4.1,63.4,133
444,191,Golden Resort,Resort,6519.57,3.8,50.4,26
445,196,Silver Resort,Homestay,1829.53,4.4,74.7,79
446,176,Grand Retreat,Luxury,10279.47,4.8,83.1,186
447,96,Mountain Retreat,Standard,3895.39,3.7,49.4,124
448,196,Sea Retreat,Homestay,1178.34,4.5,70.3,72
