destination_id,month,temperature,humidity,rainfall,aqi
14,2,33.5,63,142.4,100
14,3,33.3,69,195.9,32
14,4,32.5,66,62.4,54
14,5,33.9,73,0.8,187
14,6,29.9,66,183.5,152
15,1,12.2,59,43.3,126
15,2,9.5,48,93.1,37
15,3,9.1,69,30.3,199
15,4,13.2,67,84.8,133
15,5,15.8,55,148.6,137
15,6,7.8,62,118.7,98
16,1,27.5,82,139.3,68
16,2,26.3,79,60.2,113
16,3,27.4,70,50.3,80
16,4,26.2,75,162.1,33
16,5,31.5,80,69.3,40
16,6,31.2,86,32.4,67
17,1,6.0,53,173.0,125
17,2,18.6,67,44.4,76
17,3,9.1,62,156.0,163
17,4,17.6,49,127.0,196
17,5,12.5,58,39.8,92
17,6,9.0,42,81.4,92
18,1,33.5,64,64.1,64
18,2,30.1,68,61.6,36
18,3,26.4,63,189.6,83
18,4,26.4,75,84.6,35
18,5,33.6,78,191.4,61
18,6,30.6,89,82.2,113
19,1,30.0,61,77.7,84
19,2,34.1,76,74.3,114
19,3,32.4,64,122.7,159
19,4,29.2,82,47.2,58
19,5,30.2,60,64.6,92
19,6,33.0,60,122.8,130
20,1,13.8,65,131.7,126
20,2,8.0,50,4.6,151
20,3,8.5,63,21.9,167
20,4,10.1,59,47.2,149
20,5,11.9,47,43.6,182
20,6,15.0,48,127.4,175
21,1,34.8,85,63.0,197
21,2,34.0,67,199.5,79
21,3,34.1,80,53.2,190
21,4,32.4,66,170.3,113
21,5,33.7,72,115.2,164
21,6,32.7,87,60.8,85
22,1,16.0,59,4.0,112
22,2,18.5,55,149.6,199
22,3,18.7,55,195.0,31
22,4,17.4,52,75.5,109
22,5,13.3,60,193.6,153
22,6,16.9,62,183.3,161
23,1,31.0,72,149.8,158
23,2,28.6,70,22.0,152
23,3,32.7,61,148.0,56
23,4,30.3,66,84.2,131
23,5,34.9,90,45.3,157
23,6,25.1,82,130.9,112
24,1,10.1,51,81.9,116
24,2,6.6,48,125.0,101
24,3,7.6,47,139.7,167
24,4,11.3,49,63.0,185
24,5,9.6,47,127.6,172
24,6,7.6,65,71.0,161
25,1,6.0,62,6.7,192
25,2,5.1,43,134.3,177
25,3,5.4,41,132.8,108
25,4,16.0,61,108.6,137
25,5,9.6,50,100.8,38
25,6,14.7,56,21.8,192
26,1,16.0,62,45.3,114
26,2,10.3,58,98.2,66
26,3,11.0,49,141.8,121
26,4,9.8,51,167.9,70
26,5,9.4,53,111.4,110
26,6,19.0,67,50.7,180
27,1,12.5,44,9.6,41
27,2,6.8,42,76.7,35
27,3,20.0,53,103.7,179
27,4,11.5,54,175.6,140
27,5,16.1,58,35.4,63
27,6,13.7,54,80.4,142
28,1,29.5,71,166.6,199
28,2,32.8,79,171.1,89
28,3,26.0,81,119.3,128
28,4,34.8,74,176.0,53
28,5,29.0,85,71.6,115
28,6,26.8,79,164.2,173
29,1,29.0,87,177.0,196
29,2,25.8,75,127.5,81
29,3,33.8,83,128.3,149
29,4,28.4,84,49.9,190
29,5,29.5,64,95.6,55
29,6,27.2,84,173.4,113
30,1,30.2,72,28.5,35
30,2,29.7,66,170.8,176
30,3,34.1,75,133.2,171
30,4,28.4,80,126.9,143
30,5,30.9,89,69.1,187
30,6,27.1,62,20.6,85
31,1,33.8,69,164.6,76
31,2,31.5,77,64.8,126
31,3,30.7,74,137.8,31
31,4,29.0,84,169.0,147
31,5,28.1,82,68.1,34
31,6,27.2,70,2.5,134
32,1,5.0,51,97.9,41
32,2,9.2,55,101.7,144
32,3,15.0,69,180.3,89
32,4,12.2,63,35.3,150
32,5,15.6,51,97.8,162
32,6,10.4,48,30.3,135
33,1,28.5,84,157.2,178
33,2,31.5,61,124.0,102
33,3,29.7,75,137.9,94
33,4,33.8,63,84.5,138
33,5,29.9,82,55.6,174
33,6,31.2,63,137.9,116
34,1,33.5,81,130.7,33
34,2,25.2,60,50.9,82
34,3,28.6,77,45.6,117
34,4,32.2,84,21.2,42
34,5,29.2,86,94.2,144
34,6,31.3,60,49.3,97
35,1,16.4,51,44.4,38
35,2,14.8,62,91.6,78
35,3,9.2,51,31.0,100
35,4,16.4,44,148.1,66
35,5,13.1,47,40.2,45
35,6,14.1,49,48.2,164
36,1,5.8,64,109.7,44
36,2,13.1,55,174.9,120
36,3,16.6,54,194.6,57
36,4,18.2,45,145.0,34
36,5,5.4,45,193.9,138
36,6,14.5,63,87.9,117
37,1,15.3,56,77.2,163
37,2,13.5,61,199.4,63
37,3,16.3,52,30.1,105
37,4,13.0,54,100.4,200
37,5,18.9,66,32.2,173
37,6,7.1,46,155.6,139
38,1,28.5,70,29.9,35
38,2,28.1,85,107.7,164
38,3,25.6,60,34.8,120
38,4,26.0,74,155.3,130
38,5,33.3,85,12.6,116
38,6,32.1,73,91.4,78
39,1,14.0,64,131.3,103
39,2,19.4,43,109.3,39
39,3,11.7,66,150.9,83
39,4,12.5,46,167.8,118
39,5,6.0,53,49.4,104
39,6,20.0,52,73.5,100
40,1,30.4,83,147.2,112
40,2,33.9,84,141.5,147
40,3,29.1,60,85.1,175
40,4,33.3,82,129.4,102
40,5,32.8,88,78.0,154
40,6,27.1,60,182.8,77
41,1,18.3,39,95.5,60
41,2,29.4,28,40.1,137
41,3,24.1,49,16.7,70
41,4,39.0,25,72.0,60
41,5,23.8,37,161.9,160
41,6,24.8,23,108.5,179
42,1,30.9,60,122.3,32
42,2,34.3,61,34.1,92
42,3,33.7,78,136.1,33
42,4,31.7,87,20.4,179
42,5,25.3,83,46.6,99
42,6,30.6,77,49.4,30
43,1,33.6,79,7.3,30
43,2,29.5,75,167.2,46
43,3,34.0,89,163.4,75
43,4,33.1,79,97.2,78
43,5,27.6,61,135.2,169
43,6,34.5,84,125.9,73
44,1,15.0,45,50.0,132
44,2,15.1,58,56.9,83
44,3,14.2,64,180.2,150
44,4,9.4,44,64.9,155
44,5,13.9,63,102.1,32
44,6,9.6,60,26.2,100
45,1,28.2,76,32.0,80
45,2,27.4,62,43.2,39
45,3,25.7,78,43.7,128
45,4,33.9,80,102.8,71
45,5,26.4,74,193.1,93
45,6,28.4,63,12.8,103
46,1,20.8,23,56.6,113
46,2,26.6,38,89.5,169
46,3,19.5,31,67.8,83
46,4,43.9,49,106.4,194
46,5,36.5,28,58.5,108
46,6,36.2,32,119.9,106
47,1,30.1,66,67.2,81
47,2,34.5,75,19.8,140
47,3,30.5,76,11.7,150
47,4,29.6,61,192.3,140
47,5,34.9,72,73.4,40
47,6,29.0,89,5.4,67
48,1,8.0,52,144.8,51
48,2,9.5,41,94.3,58
48,3,17.6,67,28.7,35
48,4,9.8,47,66.2,51
48,5,7.9,43,101.4,96
48,6,18.4,66,118.2,155
49,1,32.0,78,29.9,69
49,2,31.1,61,143.7,169
49,3,33.7,74,89.2,125
49,4,33.9,76,189.7,112
49,5,31.1,90,125.6,51
49,6,31.8,65,102.9,68
50,1,6.8,67,92.4,180
50,2,17.7,65,11.6,88
50,3,19.6,67,47.2,155
50,4,19.5,56,86.1,134
50,5,9.1,65,16.8,131
50,6,6.8,60,129.5,47
51,1,13.0,40,67.5,90
51,2,9.9,41,176.8,189
51,3,5.2,60,99.8,133
51,4,6.0,67,19.3,95
51,5,5.3,54,86.2,35
51,6,8.5,70,131.3,35
52,1,25.3,64,79.1,78
52,2,29.8,69,134.5,102
52,3,28.8,64,132.6,118
52,4,25.4,74,52.1,141
52,5,26.7,78,109.5,176
52,6,32.4,90,147.8,85
53,1,32.4,70,114.1,33
53,2,25.7,76,156.7,174
53,3,29.4,74,13.2,180
53,4,26.3,75,65.4,56
53,5,29.6,68,59.1,36
53,6,33.7,69,35.6,146
54,1,9.8,60,80.9,81
54,2,18.6,43,146.1,42
54,3,6.9,52,77.1,76
54,4,11.6,42,136.3,136
54,5,6.1,48,7.3,188
54,6,12.7,68,131.6,132
55,1,31.0,62,1.0,181
55,2,33.8,69,111.9,44
55,3,25.6,66,62.4,117
55,4,27.1,78,37.8,192
55,5,29.8,83,25.9,53
55,6,29.3,78,100.2,51
56,1,28.6,83,155.8,174
56,2,32.6,90,39.7,143
56,3,31.7,76,130.7,117
56,4,27.5,87,173.6,185
56,5,26.5,77,11.9,91
56,6,31.2,72,133.9,64
57,1,8.9,42,98.4,192
57,2,17.7,45,122.6,56
57,3,8.3,42,136.1,161
57,4,17.2,50,10.0,104
57,5,17.0,48,133.1,53
57,6,17.9,43,194.6,54
58,1,35.8,47,194.1,76
58,2,31.1,43,156.7,180
58,3,17.8,31,62.1,149
58,4,16.3,41,64.0,102
58,5,42.4,26,35.5,69
58,6,24.6,42,71.7,105
59,1,7.9,69,139.2,104
59,2,15.6,63,122.0,74
59,3,5.9,54,102.9,196
59,4,14.6,66,4.9,37
59,5,17.6,58,111.5,199
59,6,14.0,48,146.2,43
60,1,32.4,82,147.9,133
60,2,31.3,74,32.1,84
60,3,29.0,67,74.4,41
60,4,29.6,76,74.8,111
60,5,33.1,66,57.7,84
60,6,28.6,75,177.8,181
61,1,9.3,51,57.5,31
61,2,18.3,49,83.8,143
61,3,9.2,50,82.0,155
61,4,13.3,41,24.1,154
61,5,19.6,62,65.2,88
61,6,17.2,40,1.1,78
62,1,28.0,78,83.6,54
62,2,26.7,80,185.1,176
62,3,26.6,85,29.8,88
62,4,32.6,72,22.0,58
62,5,28.7,78,93.3,134
62,6,34.4,89,26.4,149
63,1,30.3,76,63.3,145
63,2,34.1,82,5.9,192
63,3,34.3,74,74.8,70
63,4,27.0,85,1.9,92
63,5,33.4,82,139.0,191
63,6,33.8,63,35.6,72
64,1,30.7,86,10.1,56
64,2,32.5,82,32.5,98
64,3,31.1,68,21.2,120
64,4,31.9,89,182.4,68
64,5,26.4,87,33.4,51
64,6,32.5,71,15.2,41
65,1,30.5,88,163.5,184
65,2,30.4,70,185.2,129
65,3,29.1,71,120.2,87
65,4,28.4,86,18.8,99
65,5,33.7,60,109.7,55
65,6,28.0,71,25.8,194
66,1,18.3,65,110.3,32
66,2,11.0,58,31.2,52
66,3,12.3,49,52.4,34
66,4,18.9,48,120.0,115
66,5,7.6,49,121.5,188
66,6,9.0,59,129.5,178
67,1,11.6,68,45.8,60
67,2,10.7,41,89.8,175
67,3,9.3,62,83.6,172
67,4,12.0,63,178.5,119
67,5,6.9,59,69.6,136
67,6,8.7,67,67.2,58
68,1,31.3,90,165.1,140
68,2,29.4,80,66.4,36
68,3,27.8,70,77.5,118
68,4,31.4,76,187.5,46
68,5,30.5,80,165.6,92
68,6,33.4,80,60.1,83
69,1,34.8,70,1.7,167
69,2,34.3,71,18.0,59
69,3,26.3,74,52.0,161
69,4,34.2,82,20.0,66
69,5,29.2,85,124.9,124
69,6,26.7,89,4.9,139
70,1,15.0,40,66.7,177
70,2,13.5,63,147.6,67
70,3,18.2,60,12.9,148
70,4,16.5,52,74.9,130
70,5,8.1,60,106.2,125
70,6,11.1,41,31.5,164
71,1,11.7,52,18.4,189
71,2,11.6,62,82.6,167
71,3,6.4,56,112.7,59
71,4,5.3,60,7.9,157
71,5,15.7,41,35.0,166
71,6,13.8,47,167.5,115
72,1,14.7,40,8.4,200
72,2,19.0,47,12.9,35
72,3,13.0,54,111.3,172
72,4,7.4,56,54.2,66
72,5,7.8,56,184.6,126
72,6,10.3,65,10.6,157
73,1,9.4,56,194.7,42
73,2,7.7,64,81.4,89
73,3,12.1,56,190.4,52
73,4,17.5,61,126.2,180
73,5,5.8,59,87.6,143
73,6,8.6,60,100.1,125
74,1,33.4,75,151.0,180
74,2,33.8,68,111.2,95
74,3,32.5,60,104.5,72
74,4,32.5,65,104.8,52
74,5,34.7,76,25.1,67
74,6,29.1,86,165.9,126
75,1,10.1,53,101.8,188
75,2,18.6,64,87.3,67
75,3,12.8,66,172.5,56
75,4,17.3,70,146.8,189
75,5,11.9,63,163.6,159
75,6,18.8,48,33.7,167
76,1,29.9,81,119.2,113
76,2,33.0,76,79.1,142
76,3,31.9,82,59.3,185
76,4,28.6,89,24.7,123
76,5,29.7,75,87.2,133
76,6,30.7,74,167.7,166
77,1,19.9,44,71.9,139
77,2,16.9,51,66.5,116
77,3,18.6,48,86.2,122
77,4,14.1,56,45.9,98
77,5,8.0,41,118.9,182
77,6,19.5,47,31.7,168
78,1,13.6,66,47.4,195
78,2,19.9,61,49.7,113
78,3,15.0,63,185.3,124
78,4,8.9,46,162.5,158
78,5,13.4,53,99.9,184
78,6,6.6,49,34.7,51
79,1,12.7,61,85.2,149
79,2,16.2,61,82.3,151
79,3,6.5,68,155.4,197
79,4,10.5,63,25.0,41
79,5,14.2,62,70.1,126
79,6,6.6,65,49.3,174
80,1,27.3,89,94.1,200
80,2,31.6,71,163.9,40
80,3,34.9,69,61.2,46
80,4,30.4,71,126.5,32
80,5,32.4,73,7.3,32
80,6,34.7,90,155.8,182
81,1,30.2,67,151.2,89
81,2,33.4,76,79.9,112
81,3,32.2,70,109.1,151
81,4,31.0,85,38.6,37
81,5,34.0,68,110.8,184
81,6,34.3,67,108.6,97
82,1,25.7,75,3.3,163
82,2,29.7,67,172.9,78
82,3,33.2,84,163.3,101
82,4,25.7,76,30.0,129
82,5,31.3,73,138.6,129
82,6,30.3,89,142.3,50
83,1,29.7,74,179.5,99
83,2,33.3,80,79.9,35
83,3,32.7,70,175.6,106
83,4,34.0,60,68.8,195
83,5,25.6,61,176.4,39
83,6,25.6,80,30.4,31
84,1,31.9,65,12.4,60
84,2,26.2,79,1.6,128
84,3,33.3,77,96.0,31
84,4,32.5,79,8.0,43
84,5,33.0,65,49.2,134
84,6,32.4,87,82.7,101
85,1,10.2,49,67.8,192
85,2,14.4,64,6.7,152
85,3,13.9,49,160.9,194
85,4,10.3,59,28.3,33
85,5,7.5,70,45.5,194
85,6,17.6,65,26.0,150
86,1,33.2,88,52.4,93
86,2,28.4,66,30.4,137
86,3,34.3,89,128.9,81
86,4,31.9,75,8.0,117
86,5,29.5,85,96.1,109
86,6,25.9,73,183.0,138
87,1,26.5,69,140.0,174
87,2,30.1,81,131.0,190
87,3,34.7,68,96.0,50
87,4,29.3,84,129.4,87
87,5,29.2,83,19.6,112
87,6,28.8,65,134.4,192
88,1,27.0,47,153.3,96
88,2,35.1,50,73.2,198
88,3,15.9,22,127.0,115
88,4,41.2,20,2.4,34
88,5,40.8,35,195.7,194
88,6,21.8,30,117.2,53
89,1,26.0,65,105.4,137
89,2,32.0,67,23.9,163
89,3,30.2,79,67.8,144
89,4,25.4,73,5.7,139
89,5,25.9,79,124.1,124
89,6,33.2,69,189.2,118
90,1,31.9,70,150.4,122
90,2,27.4,60,122.6,69
90,3,25.3,82,77.6,189
90,4,33.3,78,180.1,196
90,5,31.6,90,55.0,170
90,6,34.9,83,117.1,111
91,1,30.6,64,130.9,162
91,2,26.4,63,128.9,108
91,3,33.6,78,154.6,194
91,4,31.9,73,37.8,32
91,5,30.0,79,139.3,152
91,6,35.0,64,131.4,116
92,1,26.1,77,182.2,88
92,2,26.9,90,126.4,115
92,3,27.4,86,117.3,50
92,4,34.9,65,160.3,87
92,5,31.0,83,83.5,181
92,6,27.2,69,51.6,188
93,1,31.5,60,89.5,111
93,2,27.9,66,106.7,73
93,3,26.6,80,145.5,37
93,4,30.7,74,6.7,158
93,5,34.8,78,64.1,154
93,6,34.9,69,180.4,164
94,1,26.4,75,105.8,173
94,2,26.6,71,116.1,162
94,3,34.3,72,104.9,41
94,4,29.7,77,152.5,41
94,5,33.4,63,138.6,57
94,6,28.1,78,162.6,178
95,1,33.3,67,40.7,190
95,2,30.0,83,134.8,97
95,3,28.6,75,34.0,128
95,4,32.9,80,75.0,164
95,5,28.3,82,100.5,195
95,6,33.0,77,14.8,193
96,1,8.9,51,97.4,165
96,2,15.8,47,179.1,134
96,3,19.1,56,5.9,42
96,4,15.4,49,62.6,61
96,5,10.0,49,92.5,49
96,6,19.6,63,87.9,51
97,1,17.1,40,130.7,36
97,2,16.4,40,179.9,92
97,3,10.1,44,171.5,151
97,4,9.9,43,92.8,74
97,5,12.9,47,25.8,189
97,6,9.6,66,110.1,159
98,1,34.9,88,47.9,39
98,2,32.2,61,179.2,185
98,3,30.1,83,128.8,124
98,4,31.5,83,108.9,159
98,5,25.7,84,80.7,55
98,6,29.7,90,147.1,150
99,1,25.3,77,114.0,83
99,2,30.1,75,156.1,62
99,3,26.1,81,26.2,168
99,4,27.5,60,86.7,127
99,5,29.2,77,197.2,99
99,6,32.8,77,98.6,103
100,1,31.1,62,90.4,80
100,2,34.3,64,5.8,74
100,3,27.8,82,110.7,148
100,4,34.8,88,91.3,85
100,5,28.4,76,135.7,128
100,6,30.7,87,159.1,62
101,1,30.1,35,148.7,97
101,2,43.7,27,178.4,104
101,3,19.1,21,193.1,114
101,4,15.5,29,11.1,179
101,5,39.9,31,8.2,191
101,6,21.3,47,190.3,102
102,1,28.5,66,171.1,145
102,2,33.1,71,2.5,75
102,3,33.8,80,76.8,175
102,4,26.7,82,183.1,195
102,5,26.6,62,94.3,51
102,6,28.7,68,17.4,169
103,1,14.8,68,142.2,159
103,2,11.8,41,28.6,85
103,3,11.4,60,17.6,184
103,4,13.7,65,34.0,69
103,5,19.0,58,136.2,143
103,6,17.5,48,196.1,194
104,1,9.3,43,186.0,71
104,2,7.2,53,130.2,198
104,3,5.0,67,167.6,166
104,4,11.3,40,189.1,133
104,5,9.4,60,133.9,30
104,6,18.7,41,98.7,56
105,1,27.3,80,74.1,176
105,2,31.1,83,46.9,93
105,3,25.9,77,124.1,158
105,4,28.2,62,101.6,140
105,5,32.3,87,0.6,98
105,6,26.3,62,175.5,197
106,1,26.6,89,28.0,145
106,2,27.7,76,194.0,101
106,3,29.0,82,98.8,128
106,4,32.2,70,4.8,145
106,5,28.1,62,113.8,89
106,6,27.5,70,55.4,66
107,1,31.3,81,1.8,167
107,2,28.6,84,199.8,50
107,3,28.6,85,114.2,97
107,4,29.5,86,167.2,32
107,5,31.9,73,183.4,124
107,6,27.2,86,34.2,106
108,1,14.8,44,152.0,173
108,2,5.3,47,141.2,137
108,3,5.0,58,96.0,104
108,4,16.6,40,162.8,146
108,5,13.9,62,164.8,192
108,6,13.3,61,164.1,83
109,1,32.6,65,7.2,163
109,2,30.5,74,78.9,53
109,3,25.9,81,176.5,144
109,4,33.4,66,198.4,71
109,5,33.2,88,189.0,138
109,6,33.7,83,165.2,196
110,1,25.3,31,198.4,198
110,2,31.7,37,166.4,178
110,3,39.8,31,163.9,148
110,4,33.6,23,131.6,70
110,5,17.4,36,80.0,167
110,6,19.9,27,111.3,121
111,1,10.2,61,69.0,37
111,2,16.7,68,116.8,94
111,3,11.1,54,47.2,159
111,4,17.2,70,1.3,168
111,5,15.0,56,18.4,154
111,6,16.6,44,169.7,101
112,1,11.5,41,16.0,61
112,2,6.3,53,184.5,136
112,3,8.5,60,24.1,46
112,4,5.4,69,183.5,98
112,5,13.2,50,91.3,185
112,6,14.7,46,172.3,87
113,1,33.3,76,20.3,67
113,2,27.5,63,159.3,155
113,3,29.1,78,196.1,100
113,4,30.5,73,17.4,114
113,5,31.1,60,22.8,111
113,6,26.7,78,185.9,197
114,1,17.0,54,132.7,32
114,2,9.1,61,184.3,47
114,3,7.8,67,89.1,112
114,4,5.1,58,38.2,192
114,5,5.0,53,142.9,56
114,6,19.9,47,68.2,118
115,1,31.6,79,123.4,61
115,2,33.8,75,88.3,59
115,3,29.3,69,11.8,50
115,4,33.1,65,64.1,117
115,5,27.0,68,71.9,146
115,6,31.1,75,27.8,37
116,1,12.5,59,151.3,79
116,2,12.4,50,115.1,139
116,3,6.6,63,107.0,173
116,4,8.0,55,134.0,34
116,5,6.6,57,185.3,41
116,6,18.7,45,99.4,91
117,1,29.0,68,143.1,120
117,2,34.9,75,79.6,191
117,3,32.8,71,195.4,157
117,4,26.7,81,179.0,118
117,5,28.1,66,180.6,108
117,6,29.7,77,191.2,44
118,1,6.8,45,86.2,198
118,2,5.2,49,106.7,174
118,3,15.7,46,67.4,163
118,4,7.8,55,143.8,98
118,5,11.7,43,198.0,133
118,6,18.5,70,64.6,194
119,1,6.2,49,51.8,34
119,2,17.9,47,35.8,80
119,3,6.9,48,126.9,194
119,4,18.4,58,196.8,95
119,5,17.3,55,52.9,114
119,6,12.6,43,72.0,183
120,1,28.8,69,66.1,168
120,2,26.5,75,188.8,147
120,3,32.0,60,51.6,141
120,4,30.1,78,40.1,98
120,5,26.7,63,104.8,111
120,6,34.3,69,105.0,45
121,1,5.2,40,78.9,33
121,2,17.8,62,98.9,132
121,3,19.7,48,6.2,62
121,4,13.4,70,165.6,191
121,5,18.9,40,134.8,76
121,6,12.0,47,104.1,69
122,1,13.4,59,168.1,111
122,2,12.4,66,28.4,132
122,3,15.2,45,13.4,72
122,4,10.3,68,168.4,122
122,5,11.8,47,144.7,152
122,6,9.9,65,81.2,185
123,1,11.7,64,76.5,182
123,2,5.6,52,23.3,164
123,3,18.1,47,122.8,134
123,4,13.0,45,160.7,161
123,5,14.8,70,41.5,179
123,6,6.1,50,88.3,151
124,1,30.5,66,2.1,79
124,2,25.3,71,75.8,94
124,3,25.8,77,118.9,170
124,4,30.8,81,97.0,108
124,5,30.2,81,163.8,146
124,6,28.2,80,107.2,83
125,1,18.7,61,38.4,54
125,2,20.0,68,166.0,92
125,3,15.1,40,149.1,63
125,4,18.6,42,65.3,155
125,5,8.6,60,184.9,31
125,6,13.0,46,140.4,55
126,1,33.5,72,140.5,66
126,2,30.0,78,57.8,89
126,3,34.8,62,171.8,181
126,4,30.1,64,11.7,105
126,5,30.2,63,81.3,46
126,6,26.9,73,197.7,172
127,1,30.5,86,147.3,124
127,2,29.8,80,12.4,125
127,3,30.4,88,120.9,134
127,4,29.7,78,83.1,70
127,5,31.4,80,48.0,32
127,6,26.7,86,81.3,137
128,1,14.2,41,158.3,65
128,2,14.6,54,144.0,83
128,3,13.4,63,185.4,134
128,4,11.5,45,115.1,177
128,5,6.0,54,187.5,47
128,6,17.6,57,158.7,180
129,1,34.2,62,131.3,118
129,2,31.7,72,97.1,116
129,3,25.5,77,35.0,32
129,4,33.4,68,98.8,86
129,5,25.2,78,26.1,177
129,6,31.7,87,89.3,160
130,1,34.8,65,55.7,170
130,2,34.8,80,164.7,120
130,3,29.2,64,6.2,46
130,4,33.1,78,3.7,99
130,5,32.1,67,146.6,65
130,6,29.7,89,175.8,42
131,1,30.2,85,73.7,32
131,2,31.1,81,21.1,49
131,3,29.6,69,132.5,181
131,4,30.0,64,25.4,134
131,5,30.4,73,96.1,134
131,6,35.0,67,125.4,182
132,1,27.7,84,74.5,93
132,2,28.6,76,153.2,76
132,3,34.8,89,12.3,64
132,4,34.9,78,126.6,47
132,5,34.9,82,152.8,124
132,6,33.9,71,14.0,97
133,1,29.9,90,198.3,70
133,2,27.4,69,41.8,140
133,3,28.9,73,56.5,189
133,4,30.3,85,131.5,191
133,5,29.3,70,159.8,31
133,6,27.2,71,3.8,128
134,1,30.1,82,9.4,56
134,2,28.2,64,89.6,133
134,3,28.5,79,160.1,38
134,4,27.5,74,165.1,122
134,5,33.8,76,68.6,185
134,6,31.7,66,165.9,189
135,1,14.6,68,46.6,63
135,2,17.3,45,117.6,61
135,3,14.1,63,126.9,154
135,4,18.5,47,129.7,95
135,5,8.3,47,119.6,157
135,6,6.0,47,82.8,39
136,1,29.4,79,44.7,143
136,2,32.2,81,146.1,195
136,3,34.9,72,23.9,159
136,4,33.4,87,107.0,42
136,5,34.4,80,16.1,149
136,6,33.0,62,82.3,128
137,1,14.8,58,192.5,98
137,2,14.7,41,66.0,117
137,3,10.7,64,135.4,97
137,4,6.9,54,162.1,63
137,5,5.5,60,130.1,161
137,6,18.5,45,126.7,60
138,1,32.6,89,134.0,79
138,2,29.4,70,176.1,132
138,3,33.1,77,194.5,142
138,4,32.5,63,52.7,86
138,5,29.1,89,106.5,89
138,6,33.4,62,196.4,110
139,1,18.4,59,188.4,158
139,2,12.7,55,137.9,33
139,3,5.9,44,73.7,165
139,4,13.3,45,111.6,130
139,5,5.7,64,65.2,93
139,6,8.5,49,13.8,59
140,1,34.6,65,34.9,48
140,2,27.2,64,14.3,36
140,3,31.3,78,186.1,68
140,4,34.2,87,190.6,78
140,5,29.6,83,186.5,189
140,6,33.7,89,34.8,137
141,1,27.4,64,113.0,86
141,2,31.6,61,180.4,33
141,3,26.5,66,34.0,112
141,4,26.6,64,53.5,40
141,5,28.9,64,26.1,54
141,6,29.8,69,148.5,133
142,1,25.4,72,53.8,181
142,2,31.8,76,147.7,94
142,3,29.5,73,121.8,192
142,4,33.6,65,118.4,74
142,5,29.6,78,141.5,178
142,6,25.2,85,164.1,110
143,1,25.5,77,37.3,192
143,2,34.1,84,192.8,140
143,3,32.2,79,26.5,171
143,4,26.7,81,123.7,71
143,5,33.7,88,66.3,177
143,6,30.3,82,180.2,104
144,1,28.2,74,53.3,49
144,2,32.5,72,108.5,186
144,3,25.4,89,171.4,167
144,4,28.4,69,39.7,195
144,5,25.1,85,187.4,189
144,6,34.6,67,23.5,97
145,1,30.2,84,153.6,75
145,2,34.7,79,9.9,191
145,3,34.4,84,168.2,107
145,4,28.4,67,52.7,172
145,5,32.4,68,23.6,64
145,6,27.3,72,187.3,48
146,1,11.3,66,73.6,87
146,2,5.5,61,153.4,171
