tourist_id,age,gender,country,travel_type,budget
89,55,Male,India,Family,61609.73
90,42,Male,India,Family,30317.48
91,29,Male,USA,Family,78373.15
92,62,Female,India,Couple,29194.77
93,51,Female,India,Friends,28316.14
94,20,Male,USA,Family,58802.12
95,70,Female,India,Solo,17069.17
96,25,Male,India,Friends,39603.46
97,50,Male,India,Family,40405.44
98,21,Male,India,Solo,35313.45
99,48,Female,India,Family,32155.78
100,59,Female,India,Couple,20028.84
101,69,Female,India,Family,76243.07
102,29,Male,UK,Family,61606.51
103,75,Male,USA,Family,82597.23
104,30,Female,India,Solo,16833.46
105,33,Female,Germany,Couple,72066.28
106,48,Female,India,Couple,16484.95
107,57,Female,India,Couple,23732.21
108,30,Female,UAE,Couple,62721.18
109,62,Male,India,Solo,23966.03
110,44,Male,UK,Couple,79516.15
111,28,Male,India,Family,41485.11
112,44,Female,Germany,Couple,97348.9
113,47,Female,India,Couple,36177.95
114,33,Female,India,Couple,37824.39
115,27,Male,India,Solo,39738.21
116,64,Male,India,Couple,34291.5
117,62,Male,India,Couple,26754.61
118,18,Female,Japan,Solo,79579.04
119,59,Male,India,Family,38090.14
120,47,Male,UAE,Family,63862.39
121,63,Female,India,Friends,28804.33
122,63,Male,Germany,Solo,139343.44
123,39,Male,India,Family,64902.75
124,57,Male,UK,Solo,138084.72
125,65,Male,India,Friends,20919.72
126,21,Male,India,Family,32043.72
127,41,Male,India,Family,58037.91
128,67,Male,India,Couple,26189.01
129,59,Female,USA,Family,137113.14
130,62,Male,UK,Family,82046.38
131,75,Female,India,Couple,11633.8
132,41,Female,India,Family,71477.99
133,48,Female,India,Couple,30199.19
134,62,Male,India,Friends,12619.26
135,43,Male,India,Business,13280.95
136,35,Male,India,Family,73749.66
137,51,Male,India,Business,26243.05
138,26,Female,India,Couple,29340.53
139,36,Male,India,Friends,16969.84
140,51,Female,India,Couple,29381.54
141,38,Female,India,Family,72095.39
142,46,Female,India,Solo,33680.45
143,28,Female,India,Couple,18644.39
144,72,Male,India,Couple,38686.42
145,57,Male,USA,Couple,147320.61
146,71,Male,India,Solo,39813.19
147,54,Male,India,Couple,16154.66
148,63,Male,India,Business,14438.33
149,46,Male,India,Solo,10747.76
150,49,Male,Japan,Friends,65605.33
151,65,Female,India,Couple,36879.32
152,66,Male,UK,Family,142229.21
153,39,Male,USA,Friends,63942.33
154,53,Male,India,Couple,35226.31
155,46,Female,India,Solo,29239.38
156,55,Male,UK,Family,69571.57
157,23,Female,India,Business,39275.19
158,43,Male,India,Family,55577.79
159,21,Female,India,Family,51382.02
160,42,Female,India,Couple,19242.56
161,46,Male,India,Friends,32245.83
162,44,Female,India,Friends,39110.82
163,45,Female,India,Family,34303.9
164,31,Female,India,Friends,39599.15
165,22,Female,India,Couple,37432.31
166,44,Male,India,Family,67762.19
167,26,Male,India,Couple,26616.01
168,20,Female,Australia,Couple,105928.11
169,47,Male,India,Solo,17880.31
170,58,Female,India,Family,44384.45
171,29,Female,France,Family,52844.26
172,66,Female,India,Business,27966.74
173,41,Female,India,Friends,28839.88
174,48,Male,India,Family,30877.25
175,34,Male,India,Solo,23831.32
176,62,Male,India,Solo,20834.9
177,58,Female,India,Couple,29168.4
178,22,Male,UK,Couple,59450.87
179,66,Male,India,Friends,34804.66
180,61,Female,India,Family,48126.13
181,52,Female,Australia,Solo,101817.07
182,41,Female,India,Friends,14890.87
183,31,Male,India,Friends,33853.2
184,53,Male,India,Friends,13496.97
185,26,Male,India,Couple,20877.06
186,70,Female,France,Family,126358.95
187,39,Male,USA,Solo,131457.41
188,32,Male,Germany,Solo,72657.44
189,26,Male,India,Solo,30724.54
190,68,Male,India,Family,67866.7
191,20,Male,India,Family,55673.96
192,21,Female,India,Couple,11987.42
193,60,Male,UK,Family,142009.81
194,31,Male,India,Couple,12723.38
195,72,Female,Japan,Couple,66055.73
196,50,Male,India,Solo,34587.6
197,66,Male,India,Family,78213.19
198,28,Male,UAE,Solo,71401.54
199,50,Female,India,Family,51983.29
200,24,Male,Australia,Business,92409.18
201,50,Male,India,Family,45714.01
202,47,Male,India,Family,48062.52
203,36,Male,India,Family,49239.06
204,47,Female,India,Friends,16776.2
205,44,Female,Singapore,Couple,135677.37
206,75,Female,Canada,Couple,51278.58
207,61,Female,India,Couple,25679.87
208,61,Male,India,Couple,30851.11
209,24,Male,India,Business,20158.95
210,56,Female,India,Friends,31756.02
211,35,Female,UK,Friends,144322.51
212,40,Female,India,Business,39625.7
213,50,Female,India,Family,36109.5
214,49,Female,India,Friends,10891.71
215,65,Male,Australia,Family,52674.89
216,29,Female,India,Couple,19082.58
217,57,Male,UK,Family,101994.89
218,49,Female,India,Family,54512.52
219,34,Female,Australia,Family,51767.04
220,66,Male,Singapore,Friends,61913.41
221,46,Female,Germany,Couple,53598.11
222,29,Female,France,Couple,93068.11
223,37,Female,India,Solo,30250.74
224,60,Female,India,Friends,25200.55
225,43,Female,India,Business,28508.19
226,40,Female,India,Solo,11353.55
227,71,Female,India,Family,31344.99
228,75,Female,India,Couple,39758.37
229,44,Female,India,Couple,17038.66
230,37,Male,Canada,Solo,80491.25
231,39,Male,India,Couple,23827.28
232,73,Female,India,Friends,17998.57
233,62,Female,India,Business,21332.13
234,42,Female,India,Friends,13001.7
235,61,Male,India,Family,68245.2
236,39,Male,India,Couple,23079.73
237,49,Male,Australia,Family,78735.56
238,21,Female,Singapore,Couple,72588.6
239,65,Male,USA,Family,109186.47
240,35,Male,India,Family,51355.29
241,40,Male,India,Couple,34123.8
242,45,Female,India,Couple,28748.92
243,47,Male,France,Family,101622.41
244,29,Female,India,Business,32266.24
245,47,Female,Canada,Family,111442.23
246,67,Female,Canada,Family,55988.17
247,30,Female,India,Couple,32393.01
248,66,Female,Australia,Couple,136018.59
249,22,Male,Australia,Couple,78704.46
250,28,Female,India,Couple,17154.5
251,27,Male,India,Family,45527.03
252,49,Female,India,Friends,16059.72
253,35,Male,India,Family,43888.6
254,53,Male,India,Solo,31674.22
255,68,Male,India,Friends,19417.14
256,37,Male,France,Couple,86343.42
257,60,Male,India,Friends,35282.51
258,33,Male,India,Family,36032.13
259,60,Female,India,Solo,27994.64
260,67,Female,India,Family,49497.53
261,65,Male,Canada,Couple,60681.4
262,31,Female,India,Couple,27684.43
263,49,Female,India,Solo,26372.35
264,48,Male,UAE,Friends,143697.23
265,41,Female,USA,Friends,52107.42
266,75,Male,Australia,Family,144084.83
267,62,Male,India,Couple,29168.47
268,62,Female,France,Family,103491.07
269,33,Female,India,Friends,21789.27
270,34,Female,India,Friends,17063.81
271,31,Male,Canada,Family,137946.72
272,67,Female,UK,Couple,58009.46
273,67,Female,India,Couple,35234.9
274,63,Female,Germany,Friends,132440.09
275,62,Female,India,Couple,28063.48
276,70,Female,India,Solo,11562.96
277,59,Male,India,Family,36804.61
278,43,Male,India,Couple,12466.96
279,28,Male,India,Business,34918.64
280,66,Male,Australia,Family,129264.23
281,38,Female,India,Family,43033.99
282,61,Female,UK,Couple,91449.64
283,29,Female,Germany,Friends,138434.14
284,32,Male,Japan,Friends,114710.67
285,58,Male,France,Business,69826.62
286,62,Male,India,Family,60019.64
287,27,Male,Japan,Couple,106724.29
288,18,Female,UK,Friends,132725.75
289,49,Male,India,Couple,38381.57
290,70,Female,India,Family,36509.97
291,72,Male,India,Business,18489.02
292,61,Male,India,Couple,14378.29
293,36,Female,India,Family,42415.9
294,55,Female,India,Family,73572.17
295,62,Female,India,Family,65422.66
296,65,Female,India,Family,32605.63
297,33,Female,France,Business,143932.19
298,69,Male,India,Family,49046.88
299,43,Female,India,Friends,11233.75
300,29,Female,India,Family,46958.84
301,47,Male,India,Family,51646.48
302,34,Male,India,Business,24976.32
303,71,Female,USA,Friends,78292.55
304,74,Female,India,Family,43187.9
305,38,Female,France,Couple,149456.51
306,66,Male,India,Friends,29099.57
307,46,Male,India,Solo,15494.24
308,48,Female,India,Family,35801.2
309,75,Female,India,Couple,31270.87
310,49,Female,India,Friends,36006.38
311,25,Female,India,Friends,15419.65
312,28,Female,India,Family,40619.81
313,18,Male,India,Solo,33047.6
314,61,Male,France,Solo,118131.23
315,61,Male,India,Family,77560.99
316,71,Female,India,Solo,34920.98
317,60,Female,India,Business,27826.13
318,18,Female,UAE,Family,145089.6
319,38,Male,India,Solo,29309.32
320,38,Male,USA,Family,110229.15
321,23,Female,India,Couple,33126.32
322,43,Male,India,Couple,21655.09
323,43,Female,India,Business,14624.04
324,37,Female,Australia,Family,142169.98
325,75,Male,India,Solo,21023.7
326,30,Female,India,Couple,18054.38
327,56,Female,India,Couple,21047.08
328,29,Female,India,Solo,25400.24
329,47,Male,India,Family,76533.38
330,51,Male,India,Couple,37216.23
331,48,Female,India,Solo,37087.11
332,71,Male,India,Couple,11431.85
333,22,Male,India,Family,50650.97
334,47,Female,India,Family,68432.34
335,19,Male,USA,Family,128617.71
336,71,Female,India,Couple,31131.36
337,38,Female,UK,Couple,130783.41
338,39,Male,India,Solo,39465.59
339,34,Male,India,Solo,21848.02
340,18,Male,India,Family,50254.58
341,60,Female,India,Friends,28502.34
342,62,Female,Australia,Solo,63511.39
343,30,Male,Australia,Family,68822.11
344,19,Male,India,Solo,17253.41
345,71,Male,India,Family,37408.28
346,45,Male,India,Friends,32163.44
347,46,Female,India,Friends,27556.79
348,30,Female,India,Friends,11527.67
349,18,Male,India,Family,78974.35
350,72,Female,USA,Family,105430.45
351,36,Male,India,Family,59551.96
352,57,Female,India,Solo,10570.59
353,54,Female,India,Couple,29449.01
354,74,Female,India,Family,62308.99
355,46,Female,India,Couple,15766.04
356,40,Female,India,Couple,37272.1
357,39,Female,India,Couple,31341.56
358,44,Female,UK,Family,134453.13
359,57,Male,India,Family,63352.82
360,26,Male,India,Family,35045.19
361,44,Female,India,Couple,11411.48
362,19,Female,France,Couple,65860.55
363,70,Male,Australia,Couple,61396.93
364,32,Male,India,Family,79683.14
365,68,Female,UK,Family,105702.24
366,75,Male,Germany,Friends,110428.95
367,24,Male,Canada,Couple,95713.56
368,71,Male,UAE,Family,110965.58
369,72,Male,Australia,Solo,60541.11
370,58,Male,Germany,Friends,65703.25
371,36,Female,UK,Family,137049.27
372,27,Female,India,Solo,35457.85
373,46,Female,UK,Solo,133481.34
374,48,Female,India,Couple,17980.47
375,63,Female,India,Family,37580.56
376,66,Female,UK,Solo,92882.28
377,44,Female,Japan,Family,118219.86
378,19,Female,India,Solo,34187.41
379,22,Male,India,Couple,33171.18
380,45,Male,India,Solo,37675.57
381,27,Male,UAE,Business,129907.08
382,74,Female,India,Friends,31023.71
383,73,Female,USA,Couple,84415.74
384,70,Female,France,Family,64686.18
385,43,Female,India,Friends,28730.79
386,57,Female,India,Friends,33446.89
387,43,Male,France,Solo,103743.35
388,42,Male,India,Family,40686.73
389,50,Female,India,Family,38001.37
390,19,Female,India,Family,66325.46
391,50,Male,USA,Friends,75975.65
392,50,Female,India,Family,77067.15
393,46,Female,India,Solo,20169.41
394,33,Male,India,Couple,33543.68
395,63,Male,USA,Family,74763.33
396,38,Male,Australia,Couple,59798.78
397,63,Female,Australia,Solo,56219.37
398,74,Male,India,Couple,21078.83
399,51,Female,India,Family,49739.12
400,34,Female,India,Business,30670.54
401,49,Female,Australia,Solo,62712.4
402,63,Female,India,Family,73163.58
403,25,Male,India,Solo,14705.19
404,53,Female,Canada,Solo,135231.78
405,25,Male,India,Couple,25683.32
406,25,Female,India,Couple,18819.44
407,19,Male,India,Family,32432.55
408,75,Female,France,Couple,131912.51
409,49,Male,India,Couple,36112.8
410,44,Female,India,Family,75014.36
411,68,Female,India,Family,60285.49
412,66,Male,India,Family,52496.47
413,46,Male,Germany,Couple,129981.16
414,60,Female,India,Friends,20169.94
415,20,Female,USA,Family,136595.36
416,63,Male,India,Family,65369.94
417,53,Male,India,Solo,38655.05
418,52,Male,Japan,Family,125055.86
419,50,Male,India,Friends,15392.3
420,19,Female,UK,Couple,120561.77
421,74,Female,India,Family,46021.56
422,55,Male,India,Friends,20198.7
423,29,Female,India,Family,49100.55
424,23,Male,UAE,Family,78535.17
425,29,Female,UK,Couple,145216.47
426,61,Male,India,Business,15443.74
427,63,Male,India,Solo,14273.82
428,75,Female,India,Friends,36985.05
429,21,Male,India,Family,41824.56
430,50,Female,Japan,Couple,81833.64
431,53,Female,India,Solo,29006.24
432,74,Male,India,Business,30252.92
433,33,Male,India,Couple,12517.25
434,58,Male,UK,Solo,104043.98
435,28,Male,India,Couple,37344.78
436,46,Male,India,Family,71468.59
437,36,Male,India,Friends,24465.59
438,56,Female,Australia,Couple,85141.79
439,58,Male,India,Family,32274.24
440,65,Male,India,Couple,13689.31
441,26,Female,Germany,Couple,100482.02
442,69,Female,France,Friends,113516.99
443,66,Female,India,Family,46081.91
444,31,Female,Japan,Couple,141401.82
445,26,Male,India,Solo,10287.36
446,29,Female,India,Family,54448.84
447,43,Male,UK,Family,57752.31
448,19,Female,India,Couple,34383.44
449,70,Female,India,Friends,34356.09
450,18,Male,India,Friends,23337.33
451,32,Male,UK,Family,120919.78
452,30,Male,Australia,Family,130841.45
453,32,Male,Singapore,Business,53679.6
454,49,Male,India,Business,29153.08
455,25,Female,India,Family,57589.26
456,60,Male,India,Solo,11951.48
457,34,Male,France,Family,77432.8
458,72,Male,Singapore,Family,103294.15
459,34,Female,India,Couple,30192.99
460,59,Male,Germany,Couple,134434.16
461,44,Female,India,Family,54778.74
462,51,Male,France,Couple,77793.3
463,44,Female,India,Couple,20041.17
464,74,Male,Singapore,Couple,118954.9
465,22,Male,India,Couple,11885.32
466,58,Male,India,Couple,10720.71
467,69,Female,Australia,Couple,97357.65
468,39,Male,Australia,Family,73674.37
469,22,Female,UK,Family,107893.45
470,23,Male,Canada,Couple,139008.37
471,62,Male,UK,Solo,130238.71
472,21,Female,India,Couple,13054.83
473,21,Male,India,Couple,12874.91
474,66,Female,India,Family,62986.2
475,18,Female,India,Family,73996.91
476,57,Male,India,Friends,33487.87
477,47,Female,India,Solo,10368.66
478,63,Male,India,Friends,37131.1
479,26,Female,India,Family,61042.54
480,29,Male,India,Solo,13830.42
481,55,Female,India,Family,47887.18
482,55,Male,India,Couple,20287.01
483,41,Male,India,Family,37230.02
484,33,Male,India,Couple,16011.16
485,30,Male,India,Family,64739.08
486,47,Female,Germany,Family,83566.05
487,37,Female,India,Solo,36283.16
488,20,Female,India,Solo,16690.75
489,32,Female,India,Couple,32037.59
490,70,Female,Australia,Couple,90031.26
491,70,Male,India,Solo,10900.53
492,25,Male,India,Couple,27570.59
493,66,Female,India,Solo,15934.75
494,29,Male,France,Family,83981.75
495,53,Male,India,Solo,35286.44
496,24,Male,Australia,Solo,115486.92
497,74,Male,India,Couple,23686.11
498,41,Female,India,Friends,39313.06
499,57,Female,Germany,Solo,64443.22
500,26,Male,India,Couple,21227.66
501,56,Female,UAE,Couple,54619.52
502,57,Male,Germany,Couple,64856.69
503,33,Male,India,Couple,13793.76
504,50,Female,India,Solo,24120.02
505,60,Male,India,Couple,36472.66
506,66,Female,India,Family,46091.16
507,41,Female,USA,Family,76833.55
508,43,Male,India,Friends,23562.4
509,33,Female,India,Couple,21312.49
510,28,Female,India,Solo,32548.68
511,36,Female,India,Couple,11234.29
512,50,Female,India,Family,50447.64
513,69,Female,India,Couple,15386.97
514,32,Female,India,Couple,12472.56
515,71,Male,UK,Friends,59840.91
516,22,Female,India,Couple,15899.39
517,39,Female,India,Friends,30506.18
518,35,Male,USA,Business,149840.51
519,66,Female,India,Couple,34669.27
520,68,Female,Japan,Friends,125780.61
521,18,Female,India,Business,38544.67
522,73,Female,India,Family,40493.75
523,32,Female,USA,Family,129191.49
524,38,Male,India,Friends,22530.64
525,46,Female,Germany,Solo,63895.02
526,73,Male,India,Family,54990.01
527,60,Female,India,Couple,30572.88
528,43,Female,India,Solo,33560.73
529,26,Male,UAE,Business,106819.09
530,69,Female,Singapore,Couple,89063.61
531,52,Female,India,Solo,27085.45
532,46,Female,India,Solo,26587.2
533,20,Female,India,Couple,37340.36
534,42,Female,India,Couple,25731.87
535,47,Male,India,Solo,19803.16
536,44,Female,India,Solo,26093.59
537,48,Male,India,Friends,16194.39
538,73,Male,India,Friends,29943.78
539,28,Female,India,Family,64241.8
540,35,Male,India,Solo,11919.1
541,43,Male,India,Friends,36377.18
542,47,Female,India,Family,44395.59
543,74,Female,India,Friends,33770.4
544,43,Male,India,Couple,28532.1
545,45,Female,India,Family,64926.1
546,24,Female,India,Solo,36566.25
547,28,Female,France,Family,116665.69
548,22,Male,France,Couple,126186.08
549,25,Female,India,Solo,32996.17
550,38,Female,India,Couple,25181.94
551,47,Male,India,Family,67486.81
552,42,Female,USA,Friends,89667.43
553,18,Female,India,Friends,19813.31
554,65,Female,India,Solo,26452.86
555,33,Female,India,Friends,35246.88
556,28,Male,India,Couple,13724.54
557,65,Female,India,Family,30560.53
558,35,Male,India,Couple,31432.37
559,75,Male,India,Solo,29043.71
560,51,Male,India,Couple,11572.46
561,18,Male,UK,Family,142882.06
562,41,Male,India,Solo,10838.33
563,18,Female,Australia,Family,56317.15
564,74,Male,UK,Friends,66788.29
565,28,Male,India,Solo,19814.24
566,53,Male,India,Friends,21851.92
567,45,Male,India,Solo,19701.03
568,18,Female,India,Solo,16383.04
569,32,Male,India,Couple,28717.28
570,20,Male,France,Couple,126754.51
571,49,Male,USA,Family,142222.39
572,54,Male,India,Solo,19730.63
573,58,Female,India,Business,30811.62
574,39,Male,India,Friends,19539.01
575,72,Female,India,Solo,37363.1
576,46,Female,India,Family,55171.0
577,63,Male,India,Family,74838.97
578,37,Male,USA,Family,111976.62
579,21,Male,India,Couple,14550.12
580,31,Male,India,Family,79427.57
581,46,Female,India,Couple,33609.13
582,20,Female,India,Couple,10710.8
583,72,Female,India,Couple,11622.22
584,60,Male,Australia,Family,72244.41
585,73,Female,India,Couple,28893.48
586,22,Female,India,Couple,29031.01
587,27,Male,India,Couple,26465.41
588,68,Male,India,Solo,31749.67
589,37,Male,USA,Couple,67643.55
590,33,Female,India,Couple,29068.11
591,35,Female,India,Business,21947.33
592,28,Female,India,Family,66746.41
593,66,Male,Australia,Family,51981.11
594,42,Female,Germany,Family,142153.25
595,56,Male,India,Couple,21413.51
596,37,Female,India,Family,54042.22
597,39,Male,USA,Couple,141613.19
598,18,Male,Germany,Family,87425.78
599,43,Female,Japan,Business,87314.49
600,49,Female,India,Family,50439.38
601,20,Male,India,Family,39711.41
602,45,Female,UK,Family,84857.87
603,63,Female,India,Couple,11731.14
604,42,Female,USA,Couple,53450.76
605,70,Female,India,Family,64873.57
606,59,Male,India,Family,64053.32
607,34,Male,India,Business,35245.48
608,18,Male,UK,Family,141688.29
609,43,Male,India,Couple,22688.35
610,71,Female,India,Couple,39030.5
611,60,Female,India,Family,67623.11
612,64,Male,India,Family,69876.7
613,70,Male,India,Couple,32448.71
614,62,Female,India,Couple,24751.7
615,24,Male,UK,Couple,91684.23
616,36,Female,India,Couple,31121.42
617,30,Female,India,Friends,23519.82
618,70,Male,India,Solo,15481.88
619,66,Male,India,Friends,22263.77
620,58,Male,Germany,Couple,79312.56
621,42,Male,India,Couple,27569.39
622,48,Female,India,Solo,11831.69
623,66,Male,India,Family,32092.97
624,31,Male,India,Family,78102.89
625,35,Female,India,Couple,22883.61
626,41,Female,Singapore,Friends,144099.1
627,60,Female,India,Solo,20680.88
628,39,Male,India,Friends,22054.25
629,71,Male,India,Solo,25918.88
630,62,Male,India,Family,62943.81
631,48,Female,India,Solo,29142.2
632,70,Female,India,Couple,11372.63
633,69,Female,India,Couple,24536.08
634,65,Male,India,Friends,38244.33
635,48,Male,USA,Couple,69507.7
636,27,Male,India,Family,45067.42
637,61,Female,India,Couple,13470.36
638,60,Male,India,Couple,38326.3
639,62,Male,India,Business,10876.65
640,38,Female,UK,Couple,75762.85
641,48,Male,India,Friends,29006.45
642,49,Male,UK,Couple,72380.62
643,54,Male,India,Couple,31523.28
644,65,Female,India,Family,78312.4
645,45,Male,India,Solo,12630.41
646,23,Female,USA,Friends,124461.78
647,25,Female,India,Couple,21405.85
648,65,Male,India,Family,39492.88
649,42,Female,India,Couple,30379.07
650,68,Male,India,Family,41107.08
651,43,Male,India,Family,37235.04
652,36,Male,India,Family,60073.27
653,27,Male,India,Couple,39710.05
654,25,Female,Singapore,Family,97828.27
655,71,Male,India,Family,48835.43
656,69,Female,India,Family,72403.5
657,69,Male,USA,Solo,136543.19
658,29,Female,USA,Couple,131501.22
659,72,Male,Singapore,Family,83741.01
660,61,Female,Singapore,Family,89106.31
661,51,Female,India,Friends,31033.26
662,53,Female,India,Couple,33738.32
663,73,Male,Australia,Family,95753.25
664,28,Male,India,Family,74860.9
665,31,Male,Australia,Couple,115123.8
666,41,Male,India,Business,14428.16
667,45,Male,Canada,Solo,147415.88
668,29,Male,India,Family,46924.29
669,45,Male,India,Couple,11019.78
670,33,Female,India,Family,77727.77
671,59,Female,UK,Business,117073.59
672,23,Female,Germany,Family,77521.6
673,59,Female,India,Solo,12479.11
674,49,Male,India,Family,58631.53
675,35,Male,UK,Couple,98419.15
676,59,Female,India,Solo,19756.87
677,63,Male,India,Family,49689.83
678,70,Female,India,Friends,26169.45
679,70,Male,UK,Couple,115858.24
680,25,Male,Germany,Family,50532.4
681,46,Female,India,Solo,16186.9
682,28,Male,India,Friends,11050.16
683,25,Female,India,Family,51152.57
684,60,Male,India,Solo,38373.84
685,75,Female,India,Couple,27312.14
686,62,Female,India,Business,20563.51
687,52,Male,India,Family,32236.78
688,20,Male,India,Friends,16456.39
689,26,Male,India,Couple,31873.13
690,45,Male,India,Couple,29493.07
691,28,Female,India,Friends,30295.77
692,62,Male,India,Solo,31980.25
693,58,Male,USA,Family,114777.11
694,50,Male,India,Couple,39773.47
695,45,Female,India,Family,33876.23
696,25,Male,India,Couple,19880.73
697,23,Female,France,Family,64632.96
698,69,Male,India,Solo,39384.56
699,32,Female,Japan,Family,62350.35
700,51,Female,India,Friends,12866.22
701,40,Female,India,Family,74828.51
702,28,Female,Japan,Couple,84517.29
703,65,Female,India,Solo,10284.92
704,50,Male,India,Solo,27026.82
705,35,Male,Canada,Family,87015.07
706,67,Male,India,Couple,23733.6
707,46,Female,UK,Family,77582.3
708,45,Male,India,Friends,38423.64
709,44,Female,Australia,Family,57669.32
710,33,Male,India,Solo,32302.28
711,53,Female,Australia,Solo,144839.67
712,61,Male,India,Family,79897.72
713,74,Male,India,Family,75544.32
714,65,Male,USA,Family,124966.8
715,33,Male,India,Business,30235.67
716,74,Male,India,Couple,13999.56
717,40,Male,India,Couple,21198.51
718,25,Female,Canada,Couple,103911.96
719,67,Male,India,Family,43237.54
720,18,Female,India,Couple,37993.34
721,59,Male,Canada,Friends,134835.18
722,21,Female,India,Family,44917.53
723,24,Male,India,Family,50103.4
724,18,Male,India,Couple,25872.9
725,75,Male,India,Friends,10207.31
726,67,Female,India,Couple,18978.55
727,45,Male,India,Couple,39681.08
728,60,Female,India,Couple,23018.8
729,40,Male,India,Couple,14010.41
730,44,Female,France,Couple,69899.19
731,48,Female,India,Family,54778.38
732,61,Male,India,Family,74088.33
733,50,Female,India,Business,33781.39
734,26,Male,India,Solo,30533.13
735,21,Female,India,Family,30401.44
736,48,Female,India,Solo,22868.56
737,57,Male,USA,Couple,78113.88
738,25,Female,Singapore,Couple,132060.94
739,30,Female,USA,Friends,120114.5
740,50,Male,India,Friends,28867.24
741,27,Male,India,Couple,18215.85
742,30,Male,India,Family,34546.77
743,21,Female,India,Couple,28999.3
744,32,Male,India,Family,55493.18
745,59,Male,India,Couple,18416.68
746,40,Female,India,Friends,15452.55
747,18,Male,India,Couple,18559.51
748,35,Male,India,Couple,24738.59
749,39,Female,India,Family,64148.08
750,67,Male,India,Family,48069.25
751,67,Female,India,Couple,27529.82
752,23,Male,India,Family,36017.72
753,55,Male,India,Couple,12959.12
754,52,Female,India,Family,68049.4
755,52,Male,India,Couple,26514.87
756,34,Female,France,Couple,121732.59
757,45,Male,India,Family,77622.21
758,68,Male,India,Couple,39024.61
759,36,Male,Japan,Solo,147247.4
760,30,Female,India,Family,55674.38
761,22,Male,India,Family,58124.93
762,42,Female,India,Couple,10108.02
763,54,Male,India,Solo,37858.82
764,50,Female,India,Family,42941.73
765,72,Male,India,Couple,13573.1
766,32,Male,India,Couple,29188.46
767,74,Female,Canada,Couple,129062.13
768,59,Male,Singapore,Couple,61618.48
769,59,Female,India,Business,19736.86
770,63,Female,USA,Couple,111148.2
771,38,Male,India,Solo,20664.49
772,64,Female,India,Business,26121.66
773,73,Male,USA,Family,144565.63
